,Bolivia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,2.0
3/12/20,0.0
3/13/20,1.0
3/14/20,7.0
3/15/20,0.0
3/16/20,1.0
3/17/20,0.0
3/18/20,1.0
3/19/20,0.0
3/20/20,3.0
3/21/20,4.0
3/22/20,5.0
3/23/20,3.0
3/24/20,2.0
3/25/20,3.0
3/26/20,11.0
3/27/20,18.0
3/28/20,13.0
3/29/20,7.0
3/30/20,16.0
3/31/20,10.0
4/1/20,8.0
4/2/20,8.0
4/3/20,9.0
4/4/20,7.0
4/5/20,18.0
4/6/20,26.0
4/7/20,11.0
4/8/20,16.0
4/9/20,54.0
4/10/20,4.0
4/11/20,7.0
4/12/20,25.0
4/13/20,30.0
4/14/20,24.0
4/15/20,43.0
4/16/20,44.0
4/17/20,24.0
4/18/20,28.0
4/19/20,27.0
4/20/20,44.0
4/21/20,34.0
4/22/20,11.0
4/23/20,94.0
4/24/20,104.0
4/25/20,59.0
4/26/20,84.0
4/27/20,64.0
4/28/20,39.0
4/29/20,57.0
4/30/20,57.0
5/1/20,62.0
5/2/20,241.0
5/3/20,124.0
5/4/20,87.0
5/5/20,121.0
5/6/20,84.0
5/7/20,195.0
5/8/20,185.0
5/9/20,171.0
5/10/20,119.0
5/11/20,275.0
5/12/20,133.0
5/13/20,184.0
5/14/20,224.0
5/15/20,205.0
5/16/20,249.0
5/17/20,262.0
5/18/20,175.0
5/19/20,218.0
5/20/20,438.0
5/21/20,268.0
5/22/20,392.0
5/23/20,336.0
5/24/20,348.0
5/25/20,397.0
5/26/20,476.0
5/27/20,632.0
5/28/20,619.0
5/29/20,344.0
5/30/20,861.0
5/31/20,390.0
6/1/20,549.0
6/2/20,460.0
6/3/20,647.0
6/4/20,607.0
6/5/20,483.0
6/6/20,630.0
6/7/20,285.0
6/8/20,306.0
6/9/20,695.0
6/10/20,637.0
6/11/20,884.0
6/12/20,764.0
6/13/20,913.0
6/14/20,617.0
6/15/20,614.0
6/16/20,810.0
6/17/20,802.0
6/18/20,814.0
6/19/20,977.0
6/20/20,1036.0
6/21/20,876.0
6/22/20,1105.0
6/23/20,896.0
6/24/20,1098.0
6/25/20,1016.0
6/26/20,920.0
6/27/20,1253.0
6/28/20,848.0
6/29/20,601.0
6/30/20,1094.0
7/1/20,1008.0
7/2/20,1301.0
7/3/20,1290.0
7/4/20,1253.0
7/5/20,1226.0
7/6/20,1212.0
7/7/20,1036.0
7/8/20,1439.0
7/9/20,1129.0
7/10/20,1452.0
7/11/20,1635.0
7/12/20,987.0
7/13/20,1063.0
7/14/20,1617.0
7/15/20,1351.0
7/16/20,1938.0
7/17/20,1946.0
7/18/20,2036.0
7/19/20,1444.0
7/20/20,1409.0
7/21/20,1366.0
7/22/20,1778.0
7/23/20,1117.0
7/24/20,1204.0
7/25/20,1825.0
7/26/20,1148.0
7/27/20,1752.0
7/28/20,1146.0
7/29/20,1207.0
7/30/20,1700.0
7/31/20,1555.0
8/1/20,2004.0
8/2/20,1360.0
8/3/20,1693.0
8/4/20,1515.0
8/5/20,1780.0
8/6/20,1282.0
8/7/20,1468.0
8/8/20,1164.0
8/9/20,944.0
8/10/20,1636.0
8/11/20,1693.0
8/12/20,1743.0
8/13/20,1388.0
8/14/20,1491.0
8/15/20,1196.0
8/16/20,1198.0
8/17/20,879.0
8/18/20,1796.0
8/19/20,2031.0
8/20/20,1015.0
8/21/20,1370.0
8/22/20,992.0
8/23/20,722.0
8/24/20,999.0
8/25/20,851.0
8/26/20,1095.0
8/27/20,1035.0
8/28/20,1280.0
8/29/20,945.0
8/30/20,614.0
8/31/20,630.0
9/1/20,669.0
9/2/20,661.0
9/3/20,853.0
9/4/20,799.0
9/5/20,661.0
9/6/20,528.0
9/7/20,835.0
9/8/20,704.0
9/9/20,1037.0
9/10/20,860.0
9/11/20,967.0
9/12/20,810.0
9/13/20,809.0
9/14/20,828.0
9/15/20,667.0
9/16/20,586.0
9/17/20,547.0
9/18/20,632.0
9/19/20,419.0
9/20/20,206.0
9/21/20,310.0
9/22/20,467.0
9/23/20,537.0
9/24/20,628.0
9/25/20,604.0
9/26/20,370.0
9/27/20,309.0
9/28/20,322.0
9/29/20,418.0
9/30/20,670.0
10/1/20,405.0
10/2/20,503.0
10/3/20,350.0
10/4/20,299.0
10/5/20,239.0
10/6/20,361.0
10/7/20,238.0
10/8/20,263.0
10/9/20,257.0
10/10/20,237.0
10/11/20,111.0
10/12/20,121.0
10/13/20,227.0
10/14/20,219.0
10/15/20,178.0
10/16/20,243.0
10/17/20,148.0
10/18/20,61.0
10/19/20,119.0
10/20/20,147.0
10/21/20,191.0
10/22/20,217.0
10/23/20,167.0
10/24/20,167.0
10/25/20,74.0
10/26/20,99.0
10/27/20,172.0
10/28/20,197.0
10/29/20,163.0
10/30/20,147.0
10/31/20,126.0
11/1/20,76.0
11/2/20,34.0
11/3/20,69.0
11/4/20,126.0
11/5/20,139.0
11/6/20,142.0
11/7/20,84.0
11/8/20,48.0
11/9/20,86.0
11/10/20,103.0
11/11/20,112.0
11/12/20,113.0
11/13/20,180.0
11/14/20,112.0
11/15/20,65.0
11/16/20,125.0
11/17/20,102.0
11/18/20,96.0
11/19/20,187.0
11/20/20,98.0
11/21/20,68.0
11/22/20,56.0
11/23/20,56.0
11/24/20,113.0
11/25/20,129.0
11/26/20,114.0
11/27/20,104.0
11/28/20,98.0
11/29/20,30.0
11/30/20,86.0
12/1/20,102.0
12/2/20,184.0
12/3/20,192.0
12/4/20,139.0
12/5/20,167.0
12/6/20,68.0
12/7/20,97.0
12/8/20,189.0
12/9/20,214.0
12/10/20,325.0
12/11/20,312.0
12/12/20,333.0
12/13/20,120.0
12/14/20,195.0
12/15/20,371.0
12/16/20,498.0
12/17/20,451.0
12/18/20,484.0
12/19/20,621.0
12/20/20,253.0
12/21/20,362.0
12/22/20,674.0
12/23/20,1005.0
12/24/20,1057.0
12/25/20,469.0
12/26/20,759.0
12/27/20,494.0
12/28/20,751.0
12/29/20,1293.0
12/30/20,1485.0
12/31/20,1752.0
1/1/21,861.0
1/2/21,1070.0
1/3/21,606.0
1/4/21,1010.0
1/5/21,1597.0
1/6/21,1713.0
1/7/21,1910.0
1/8/21,2263.0
1/9/21,1644.0
1/10/21,1098.0
1/11/21,1392.0
1/12/21,1473.0
1/13/21,2057.0
1/14/21,2198.0
1/15/21,2573.0
1/16/21,2091.0
1/17/21,1503.0
1/18/21,1550.0
1/19/21,2357.0
1/20/21,2655.0
1/21/21,2648.0
1/22/21,1864.0
1/23/21,1732.0
1/24/21,1048.0
1/25/21,1781.0
1/26/21,2390.0
1/27/21,2866.0
1/28/21,2652.0
1/29/21,2666.0
1/30/21,2005.0
1/31/21,1438.0
2/1/21,1464.0
2/2/21,2127.0
2/3/21,2021.0
2/4/21,1787.0
2/5/21,1676.0
2/6/21,1218.0
2/7/21,839.0
2/8/21,1220.0
2/9/21,1544.0
2/10/21,1771.0
2/11/21,1352.0
2/12/21,1244.0
2/13/21,938.0
2/14/21,696.0
2/15/21,412.0
2/16/21,562.0
2/17/21,789.0
2/18/21,1029.0
2/19/21,1152.0
2/20/21,1095.0
2/21/21,521.0
2/22/21,884.0
2/23/21,1204.0
2/24/21,1339.0
2/25/21,1103.0
2/26/21,1069.0
2/27/21,656.0
2/28/21,463.0
3/1/21,757.0
3/2/21,790.0
3/3/21,834.0
3/4/21,969.0
3/5/21,937.0
3/6/21,653.0
3/7/21,323.0
3/8/21,463.0
3/9/21,885.0
3/10/21,841.0
3/11/21,778.0
3/12/21,1084.0
3/13/21,680.0
3/14/21,385.0
3/15/21,670.0
3/16/21,929.0
3/17/21,1068.0
3/18/21,885.0
3/19/21,867.0
3/20/21,603.0
3/21/21,223.0
3/22/21,573.0
3/23/21,879.0
3/24/21,973.0
3/25/21,774.0
3/26/21,878.0
3/27/21,591.0
3/28/21,326.0
3/29/21,719.0
3/30/21,1072.0
3/31/21,992.0
4/1/21,916.0
4/2/21,620.0
4/3/21,520.0
4/4/21,467.0
4/5/21,458.0
4/6/21,1498.0
4/7/21,1076.0
4/8/21,1241.0
4/9/21,1442.0
4/10/21,921.0
4/11/21,525.0
4/12/21,989.0
4/13/21,1099.0
4/14/21,1108.0
4/15/21,823.0
4/16/21,1246.0
4/17/21,0.0
4/18/21,1706.0
4/19/21,1296.0
4/20/21,1313.0
4/21/21,1386.0
4/22/21,1330.0
4/23/21,1501.0
4/24/21,1293.0
4/25/21,474.0
4/26/21,1119.0
4/27/21,1480.0
4/28/21,1573.0
4/29/21,0.0
4/30/21,1901.0
5/1/21,2795.0
5/2/21,0.0
5/3/21,2457.0
5/4/21,0.0
5/5/21,1588.0
5/6/21,3618.0
5/7/21,0.0
5/8/21,3357.0
5/9/21,0.0
5/10/21,1063.0
5/11/21,1599.0
5/12/21,2369.0
5/13/21,2290.0
5/14/21,2356.0
5/15/21,2509.0
5/16/21,2834.0
5/17/21,2257.0
5/18/21,0.0
5/19/21,2617.0
5/20/21,2766.0
5/21/21,2858.0
5/22/21,3005.0
5/23/21,3583.0
5/24/21,0.0
5/25/21,5696.0
5/26/21,3213.0
5/27/21,3018.0
5/28/21,2990.0
5/29/21,2144.0
5/30/21,1760.0
5/31/21,2805.0
6/1/21,3439.0
6/2/21,3310.0
6/3/21,2429.0
6/4/21,3000.0
6/5/21,2277.0
6/6/21,1428.0
6/7/21,0.0
6/8/21,5813.0
6/9/21,0.0
6/10/21,7072.0
6/11/21,0.0
6/12/21,5300.0
6/13/21,1607.0
6/14/21,2152.0
6/15/21,2571.0
6/16/21,2836.0
6/17/21,2682.0
6/18/21,0.0
6/19/21,3766.0
6/20/21,1086.0
6/21/21,764.0
6/22/21,1667.0
6/23/21,2270.0
6/24/21,2430.0
6/25/21,2182.0
6/26/21,1653.0
6/27/21,922.0
6/28/21,1633.0
6/29/21,2055.0
6/30/21,2001.0
7/1/21,1662.0
7/2/21,1598.0
7/3/21,1206.0
7/4/21,878.0
7/5/21,1394.0
7/6/21,1851.0
7/7/21,1474.0
7/8/21,1537.0
7/9/21,0.0
7/10/21,2371.0
7/11/21,646.0
7/12/21,1195.0
7/13/21,1379.0
7/14/21,0.0
7/15/21,2764.0
7/16/21,0.0
7/17/21,2135.0
7/18/21,440.0
7/19/21,971.0
7/20/21,0.0
7/21/21,2226.0
7/22/21,967.0
7/23/21,1025.0
7/24/21,632.0
7/25/21,448.0
7/26/21,0.0
7/27/21,1601.0
7/28/21,905.0
7/29/21,1029.0
7/30/21,0.0
7/31/21,1548.0
8/1/21,393.0
8/2/21,639.0
8/3/21,727.0
8/4/21,832.0
8/5/21,698.0
8/6/21,0.0
8/7/21,467.0
8/8/21,434.0
8/9/21,975.0
8/10/21,0.0
8/11/21,1558.0
8/12/21,0.0
8/13/21,1402.0
8/14/21,0.0
8/15/21,797.0
8/16/21,0.0
8/17/21,1303.0
8/18/21,715.0
8/19/21,0.0
8/20/21,738.0
8/21/21,1210.0
8/22/21,249.0
8/23/21,488.0
8/24/21,590.0
8/25/21,682.0
8/26/21,530.0
8/27/21,0.0
8/28/21,869.0
8/29/21,254.0
8/30/21,411.0
8/31/21,412.0
9/1/21,461.0
9/2/21,419.0
9/3/21,0.0
9/4/21,750.0
9/5/21,171.0
9/6/21,0.0
9/7/21,435.0
9/8/21,403.0
9/9/21,396.0
9/10/21,379.0
9/11/21,371.0
9/12/21,371.0
9/13/21,0.0
9/14/21,577.0
9/15/21,420.0
9/16/21,0.0
9/17/21,668.0
9/18/21,250.0
9/19/21,150.0
9/20/21,286.0
9/21/21,290.0
9/22/21,308.0
9/23/21,347.0
9/24/21,264.0
9/25/21,195.0
9/26/21,105.0
9/27/21,307.0
9/28/21,446.0
9/29/21,442.0
9/30/21,355.0
10/1/21,378.0
10/2/21,0.0
10/3/21,356.0
10/4/21,437.0
10/5/21,431.0
10/6/21,503.0
10/7/21,0.0
10/8/21,472.0
10/9/21,410.0
10/10/21,303.0
10/11/21,386.0
10/12/21,480.0
10/13/21,556.0
10/14/21,0.0
10/15/21,993.0
10/16/21,0.0
10/17/21,504.0
10/18/21,480.0
10/19/21,0.0
10/20/21,1032.0
10/21/21,536.0
10/22/21,574.0
10/23/21,433.0
10/24/21,210.0
10/25/21,0.0
10/26/21,551.0
10/27/21,1384.0
10/28/21,0.0
10/29/21,606.0
10/30/21,1124.0
10/31/21,0.0
11/1/21,226.0
11/2/21,0.0
11/3/21,869.0
11/4/21,694.0
11/5/21,1856.0
11/6/21,0.0
11/7/21,673.0
11/8/21,364.0
11/9/21,604.0
11/10/21,799.0
11/11/21,1849.0
11/12/21,1012.0
11/13/21,0.0
11/14/21,955.0
11/15/21,776.0
11/16/21,926.0
11/17/21,1119.0
11/18/21,1074.0
11/19/21,0.0
11/20/21,1027.0
11/21/21,668.0
11/22/21,1294.0
11/23/21,1059.0
11/24/21,0.0
11/25/21,2328.0
11/26/21,1359.0
11/27/21,0.0
11/28/21,1357.0
11/29/21,0.0
11/30/21,1087.0
12/1/21,1088.0
12/2/21,1115.0
12/3/21,1107.0
12/4/21,1990.0
12/5/21,531.0
12/6/21,1276.0
12/7/21,1489.0
12/8/21,0.0
12/9/21,1737.0
12/10/21,1746.0
12/11/21,1878.0
12/12/21,1592.0
12/13/21,0.0
12/14/21,1891.0
12/15/21,1766.0
12/16/21,1800.0
12/17/21,2119.0
12/18/21,3174.0
12/19/21,889.0
12/20/21,0.0
12/21/21,4220.0
12/22/21,0.0
12/23/21,1909.0
12/24/21,4371.0
12/25/21,0.0
12/26/21,1355.0
12/27/21,1206.0
12/28/21,2882.0
12/29/21,4934.0
12/30/21,6149.0
12/31/21,7980.0
1/1/22,0.0
1/2/22,11278.0
1/3/22,11281.0
1/4/22,0.0
1/5/22,9242.0
1/6/22,10263.0
1/7/22,11002.0
1/8/22,19013.0
1/9/22,5334.0
1/10/22,8857.0
1/11/22,11213.0
1/12/22,14063.0
1/13/22,0.0
1/14/22,14160.0
1/15/22,0.0
1/16/22,23611.0
1/17/22,5265.0
1/18/22,9057.0
1/19/22,10835.0
1/20/22,20860.0
1/21/22,9590.0
1/22/22,0.0
1/23/22,0.0
1/24/22,15906.0
1/25/22,7649.0
1/26/22,6938.0
1/27/22,6587.0
1/28/22,0.0
1/29/22,5423.0
1/30/22,5100.0
1/31/22,3425.0
2/1/22,3825.0
2/2/22,4145.0
2/3/22,3396.0
2/4/22,0.0
2/5/22,4678.0
2/6/22,0.0
2/7/22,3157.0
2/8/22,0.0
2/9/22,4016.0
2/10/22,0.0
2/11/22,1969.0
2/12/22,1758.0
2/13/22,733.0
2/14/22,1622.0
2/15/22,1104.0
2/16/22,981.0
2/17/22,0.0
2/18/22,1086.0
2/19/22,869.0
2/20/22,467.0
2/21/22,909.0
2/22/22,692.0
2/23/22,739.0
2/24/22,0.0
2/25/22,686.0
2/26/22,511.0
2/27/22,175.0
2/28/22,172.0
3/1/22,117.0
3/2/22,263.0
3/3/22,425.0
3/4/22,0.0
3/5/22,351.0
3/6/22,547.0
3/7/22,0.0
3/8/22,326.0
3/9/22,891.0
3/10/22,429.0
3/11/22,354.0
3/12/22,253.0
3/13/22,138.0
3/14/22,0.0
3/15/22,481.0
3/16/22,494.0
3/17/22,477.0
3/18/22,583.0
3/19/22,0.0
3/20/22,173.0
3/21/22,302.0
3/22/22,0.0
3/23/22,261.0
3/24/22,297.0
3/25/22,288.0
3/26/22,263.0
3/27/22,259.0
3/28/22,220.0
3/29/22,165.0
3/30/22,191.0
3/31/22,0.0
4/1/22,373.0
4/2/22,132.0
4/3/22,49.0
4/4/22,0.0
4/5/22,252.0
4/6/22,0.0
4/7/22,313.0
4/8/22,0.0
4/9/22,244.0
4/10/22,0.0
4/11/22,171.0
4/12/22,107.0
4/13/22,93.0
4/14/22,99.0
4/15/22,0.0
4/16/22,112.0
4/17/22,20.0
4/18/22,0.0
4/19/22,121.0
4/20/22,97.0
4/21/22,86.0
4/22/22,82.0
4/23/22,0.0
4/24/22,152.0
4/25/22,33.0
4/26/22,178.0
4/27/22,101.0
4/28/22,0.0
4/29/22,125.0
4/30/22,91.0
5/1/22,100.0
5/2/22,0.0
