,Brazil
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,0.0
2/28/20,0.0
2/29/20,1.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,2.0
3/5/20,0.0
3/6/20,9.0
3/7/20,0.0
3/8/20,7.0
3/9/20,5.0
3/10/20,6.0
3/11/20,7.0
3/12/20,14.0
3/13/20,99.0
3/14/20,0.0
3/15/20,11.0
3/16/20,38.0
3/17/20,121.0
3/18/20,51.0
3/19/20,249.0
3/20/20,172.0
3/21/20,228.0
3/22/20,525.0
3/23/20,378.0
3/24/20,323.0
3/25/20,307.0
3/26/20,431.0
3/27/20,432.0
3/28/20,487.0
3/29/20,352.0
3/30/20,323.0
3/31/20,1138.0
4/1/20,1119.0
4/2/20,1208.0
4/3/20,1012.0
4/4/20,1304.0
4/5/20,770.0
4/6/20,1031.0
4/7/20,1873.0
4/8/20,2136.0
4/9/20,1922.0
4/10/20,1546.0
4/11/20,1089.0
4/12/20,1465.0
4/13/20,1238.0
4/14/20,1832.0
4/15/20,3058.0
4/16/20,2105.0
4/17/20,3257.0
4/18/20,2976.0
4/19/20,1996.0
4/20/20,2089.0
4/21/20,2336.0
4/22/20,2678.0
4/23/20,4279.0
4/24/20,4007.0
4/25/20,5281.0
4/26/20,3776.0
4/27/20,4346.0
4/28/20,5789.0
4/29/20,6450.0
4/30/20,7502.0
5/1/20,5015.0
5/2/20,4898.0
5/3/20,4726.0
5/4/20,6794.0
5/5/20,6835.0
5/6/20,11156.0
5/7/20,9162.0
5/8/20,11121.0
5/9/20,9167.0
5/10/20,6638.0
5/11/20,6895.0
5/12/20,8620.0
5/13/20,11923.0
5/14/20,13028.0
5/15/20,17126.0
5/16/20,13220.0
5/17/20,7569.0
5/18/20,14288.0
5/19/20,16517.0
5/20/20,22739.0
5/21/20,18137.0
5/22/20,21807.0
5/23/20,16997.0
5/24/20,14468.0
5/25/20,12807.0
5/26/20,16327.0
5/27/20,20199.0
5/28/20,28337.0
5/29/20,26890.0
5/30/20,32321.0
5/31/20,13223.0
6/1/20,15149.0
6/2/20,31677.0
6/3/20,26085.0
6/4/20,31954.0
6/5/20,32101.0
6/6/20,23790.0
6/7/20,17988.0
6/8/20,17338.0
6/9/20,31698.0
6/10/20,33790.0
6/11/20,28692.0
6/12/20,24282.0
6/13/20,21230.0
6/14/20,16794.0
6/15/20,24617.0
6/16/20,36983.0
6/17/20,30925.0
6/18/20,25520.0
6/19/20,56059.0
6/20/20,63523.0
6/21/20,-19796.0
6/22/20,28192.0
6/23/20,39527.0
6/24/20,41033.0
6/25/20,41464.0
6/26/20,44884.0
6/27/20,36920.0
6/28/20,32883.0
6/29/20,21550.0
6/30/20,39680.0
7/1/20,46825.0
7/2/20,44401.0
7/3/20,43040.0
7/4/20,33567.0
7/5/20,25193.0
7/6/20,24454.0
7/7/20,46699.0
7/8/20,45250.0
7/9/20,42962.0
7/10/20,44311.0
7/11/20,34947.0
7/12/20,23658.0
7/13/20,22893.0
7/14/20,42922.0
7/15/20,40142.0
7/16/20,43683.0
7/17/20,34618.0
7/18/20,25753.0
7/19/20,23412.0
7/20/20,22753.0
7/21/20,46927.0
7/22/20,66150.0
7/23/20,57326.0
7/24/20,56903.0
7/25/20,47535.0
7/26/20,22673.0
7/27/20,28011.0
7/28/20,54004.0
7/29/20,55451.0
7/30/20,58055.0
7/31/20,53264.0
8/1/20,41541.0
8/2/20,24066.0
8/3/20,20106.0
8/4/20,56283.0
8/5/20,56169.0
8/6/20,53989.0
8/7/20,49403.0
8/8/20,46389.0
8/9/20,22730.0
8/10/20,26506.0
8/11/20,50520.0
8/12/20,54954.0
8/13/20,60713.0
8/14/20,49407.0
8/15/20,36881.0
8/16/20,23006.0
8/17/20,24397.0
8/18/20,49264.0
8/19/20,48603.0
8/20/20,42974.0
8/21/20,32326.0
8/22/20,45908.0
8/23/20,21873.0
8/24/20,23513.0
8/25/20,46307.0
8/26/20,48152.0
8/27/20,42260.0
8/28/20,44088.0
8/29/20,37291.0
8/30/20,14534.0
8/31/20,50225.0
9/1/20,44329.0
9/2/20,46453.0
9/3/20,46809.0
9/4/20,39539.0
9/5/20,33857.0
9/6/20,14672.0
9/7/20,9516.0
9/8/20,18786.0
9/9/20,37087.0
9/10/20,40761.0
9/11/20,41533.0
9/12/20,30800.0
9/13/20,14020.0
9/14/20,20611.0
9/15/20,34552.0
9/16/20,37297.0
9/17/20,36405.0
9/18/20,39731.0
9/19/20,29558.0
9/20/20,15442.0
9/21/20,17635.0
9/22/20,34967.0
9/23/20,32726.0
9/24/20,32015.0
9/25/20,32310.0
9/26/20,24718.0
9/27/20,13787.0
9/28/20,16871.0
9/29/20,32848.0
9/30/20,32901.0
10/1/20,35783.0
10/2/20,32818.0
10/3/20,23008.0
10/4/20,8715.0
10/5/20,26053.0
10/6/20,31526.0
10/7/20,30938.0
10/8/20,26830.0
10/9/20,27733.0
10/10/20,23744.0
10/11/20,12191.0
10/12/20,8636.0
10/13/20,13359.0
10/14/20,27844.0
10/15/20,30426.0
10/16/20,28596.0
10/17/20,20776.0
10/18/20,12051.0
10/19/20,16579.0
10/20/20,23766.0
10/21/20,25856.0
10/22/20,24764.0
10/23/20,30001.0
10/24/20,24984.0
10/25/20,12254.0
10/26/20,18611.0
10/27/20,29982.0
10/28/20,28351.0
10/29/20,26700.0
10/30/20,24353.0
10/31/20,13170.0
11/1/20,10188.0
11/2/20,8249.0
11/3/20,14582.0
11/4/20,23316.0
11/5/20,23845.0
11/6/20,20200.0
11/7/20,17744.0
11/8/20,10502.0
11/9/20,13414.0
11/10/20,46424.0
11/11/20,26247.0
11/12/20,33919.0
11/13/20,38718.0
11/14/20,26278.0
11/15/20,13906.0
11/16/20,15744.0
11/17/20,35490.0
11/18/20,34752.0
11/19/20,35862.0
11/20/20,38770.0
11/21/20,30222.0
11/22/20,17926.0
11/23/20,18158.0
11/24/20,34533.0
11/25/20,44628.0
11/26/20,40885.0
11/27/20,33508.0
11/28/20,51485.0
11/29/20,21012.0
11/30/20,23695.0
12/1/20,51985.0
12/2/20,48475.0
12/3/20,50139.0
12/4/20,47671.0
12/5/20,40282.0
12/6/20,26430.0
12/7/20,27024.0
12/8/20,47796.0
12/9/20,54591.0
12/10/20,53550.0
12/11/20,52550.0
12/12/20,42324.0
12/13/20,22029.0
12/14/20,27380.0
12/15/20,48032.0
12/16/20,66124.0
12/17/20,68699.0
12/18/20,52853.0
12/19/20,48242.0
12/20/20,24484.0
12/21/20,27645.0
12/22/20,56665.0
12/23/20,45679.0
12/24/20,58211.0
12/25/20,21183.0
12/26/20,17533.0
12/27/20,17614.0
12/28/20,27437.0
12/29/20,56371.0
12/30/20,55600.0
12/31/20,54469.0
1/1/21,22939.0
1/2/21,15353.0
1/3/21,17190.0
1/4/21,25039.0
1/5/21,58083.0
1/6/21,62507.0
1/7/21,87969.0
1/8/21,59586.0
1/9/21,51393.0
1/10/21,29027.0
1/11/21,30747.0
1/12/21,64424.0
1/13/21,59827.0
1/14/21,68329.0
1/15/21,69097.0
1/16/21,58445.0
1/17/21,31416.0
1/18/21,28933.0
1/19/21,62149.0
1/20/21,64477.0
1/21/21,58950.0
1/22/21,56605.0
1/23/21,58298.0
1/24/21,28519.0
1/25/21,30530.0
1/26/21,61608.0
1/27/21,64772.0
1/28/21,60760.0
1/29/21,59503.0
1/30/21,53114.0
1/31/21,27900.0
2/1/21,28490.0
2/2/21,56278.0
2/3/21,54414.0
2/4/21,57107.0
2/5/21,51690.0
2/6/21,46310.0
2/7/21,26162.0
2/8/21,28586.0
2/9/21,51217.0
2/10/21,61108.0
2/11/21,53604.0
2/12/21,48942.0
2/13/21,44856.0
2/14/21,30723.0
2/15/21,25808.0
2/16/21,65284.0
2/17/21,47225.0
2/18/21,53479.0
2/19/21,52157.0
2/20/21,52371.0
2/21/21,29485.0
2/22/21,31846.0
2/23/21,63585.0
2/24/21,65386.0
2/25/21,68279.0
2/26/21,63395.0
2/27/21,58418.0
2/28/21,33365.0
3/1/21,40385.0
3/2/21,59695.0
3/3/21,72899.0
3/4/21,76022.0
3/5/21,72505.0
3/6/21,66904.0
3/7/21,81684.0
3/8/21,36585.0
3/9/21,71294.0
3/10/21,81467.0
3/11/21,77071.0
3/12/21,82471.0
3/13/21,70343.0
3/14/21,43448.0
3/15/21,44314.0
3/16/21,85645.0
3/17/21,88652.0
3/18/21,87926.0
3/19/21,88259.0
3/20/21,73154.0
3/21/21,47445.0
3/22/21,55970.0
3/23/21,85208.0
3/24/21,90906.0
3/25/21,98261.0
3/26/21,80346.0
3/27/21,81703.0
3/28/21,46958.0
3/29/21,42615.0
3/30/21,86441.0
3/31/21,88725.0
4/1/21,87773.0
4/2/21,69375.0
4/3/21,39355.0
4/4/21,32318.0
4/5/21,42674.0
4/6/21,85132.0
4/7/21,88696.0
4/8/21,88555.0
4/9/21,88110.0
4/10/21,66552.0
4/11/21,39175.0
4/12/21,39650.0
4/13/21,82661.0
4/14/21,74606.0
4/15/21,71183.0
4/16/21,84387.0
4/17/21,68565.0
4/18/21,38838.0
4/19/21,36522.0
4/20/21,72643.0
4/21/21,73988.0
4/22/21,48108.0
4/23/21,69281.0
4/24/21,63781.0
4/25/21,33641.0
4/26/21,32398.0
4/27/21,75844.0
4/28/21,77279.0
4/29/21,68614.0
4/30/21,72008.0
5/1/21,58292.0
5/2/21,29288.0
5/3/21,38989.0
5/4/21,69535.0
5/5/21,76372.0
5/6/21,72290.0
5/7/21,76844.0
5/8/21,61761.0
5/9/21,32720.0
5/10/21,36301.0
5/11/21,70106.0
5/12/21,76248.0
5/13/21,80030.0
5/14/21,77914.0
5/15/21,67351.0
5/16/21,37564.0
5/17/21,35598.0
5/18/21,74805.0
5/19/21,80263.0
5/20/21,83387.0
5/21/21,76631.0
5/22/21,67896.0
5/23/21,38495.0
5/24/21,37480.0
5/25/21,74041.0
5/26/21,80245.0
5/27/21,64531.0
5/28/21,53888.0
5/29/21,75863.0
5/30/21,41449.0
5/31/21,36607.0
6/1/21,78913.0
6/2/21,96278.0
6/3/21,76067.0
6/4/21,43171.0
6/5/21,61667.0
6/6/21,40343.0
6/7/21,39716.0
6/8/21,55713.0
6/9/21,84867.0
6/10/21,91244.0
6/11/21,86312.0
6/12/21,73773.0
6/13/21,36984.0
6/14/21,42692.0
6/15/21,87141.0
6/16/21,86528.0
6/17/21,76492.0
6/18/21,95444.0
6/19/21,77934.0
6/20/21,44587.0
6/21/21,45410.0
6/22/21,124248.0
6/23/21,77396.0
6/24/21,76624.0
6/25/21,75061.0
6/26/21,60665.0
6/27/21,31980.0
6/28/21,32059.0
6/29/21,65956.0
6/30/21,47143.0
7/1/21,61130.0
7/2/21,63572.0
7/3/21,53733.0
7/4/21,25462.0
7/5/21,27935.0
7/6/21,61683.0
7/7/21,54167.0
7/8/21,54147.0
7/9/21,58452.0
7/10/21,44121.0
7/11/21,19147.0
7/12/21,19233.0
7/13/21,48566.0
7/14/21,56097.0
7/15/21,54398.0
7/16/21,42915.0
7/17/21,49030.0
7/18/21,16747.0
7/19/21,16756.0
7/20/21,31149.0
7/21/21,55836.0
7/22/21,48681.0
7/23/21,107120.0
7/24/21,34648.0
7/25/21,18256.0
7/26/21,21442.0
7/27/21,43591.0
7/28/21,47049.0
7/29/21,41321.0
7/30/21,40378.0
7/31/21,35088.0
8/1/21,20353.0
8/2/21,18875.0
8/3/21,32496.0
8/4/21,40537.0
8/5/21,39484.0
8/6/21,42671.0
8/7/21,39533.0
8/8/21,13894.0
8/9/21,15542.0
8/10/21,35462.0
8/11/21,35443.0
8/12/21,35858.0
8/13/21,32995.0
8/14/21,29302.0
8/15/21,13767.0
8/16/21,18190.0
8/17/21,39006.0
8/18/21,40171.0
8/19/21,36013.0
8/20/21,34213.0
8/21/21,25322.0
8/22/21,13945.0
8/23/21,15654.0
8/24/21,31809.0
8/25/21,29979.0
8/26/21,30923.0
8/27/21,27756.0
8/28/21,22947.0
8/29/21,11263.0
8/30/21,12801.0
8/31/21,26846.0
9/1/21,25748.0
9/2/21,27023.0
9/3/21,23604.0
9/4/21,20325.0
9/5/21,12661.0
9/6/21,10172.0
9/7/21,13604.0
9/8/21,14182.0
9/9/21,32823.0
9/10/21,16455.0
9/11/21,13762.0
9/12/21,7861.0
9/13/21,8648.0
9/14/21,13571.0
9/15/21,13276.0
9/16/21,35447.0
9/17/21,35337.0
9/18/21,124878.0
9/19/21,9175.0
9/20/21,9285.0
9/21/21,15380.0
9/22/21,32583.0
9/23/21,24917.0
9/24/21,18665.0
9/25/21,13863.0
9/26/21,8856.0
9/27/21,9345.0
9/28/21,16884.0
9/29/21,16885.0
9/30/21,21951.0
10/1/21,18062.0
10/2/21,12386.0
10/3/21,9153.0
10/4/21,11518.0
10/5/21,22145.0
10/6/21,18546.0
10/7/21,14616.0
10/8/21,18535.0
10/9/21,14804.0
10/10/21,8412.0
10/11/21,6993.0
10/12/21,7355.0
10/13/21,8372.0
10/14/21,15232.0
10/15/21,14298.0
10/16/21,9761.0
10/17/21,6185.0
10/18/21,9319.0
10/19/21,13233.0
10/20/21,15708.0
10/21/21,16986.0
10/22/21,13398.0
10/23/21,11905.0
10/24/21,4536.0
10/25/21,7827.0
10/26/21,13345.0
10/27/21,17124.0
10/28/21,13686.0
10/29/21,12681.0
10/30/21,10012.0
10/31/21,6130.0
11/1/21,4626.0
11/2/21,5918.0
11/3/21,16310.0
11/4/21,13247.0
11/5/21,12998.0
11/6/21,11173.0
11/7/21,5661.0
11/8/21,6881.0
11/9/21,11810.0
11/10/21,14980.0
11/11/21,15538.0
11/12/21,14599.0
11/13/21,9358.0
11/14/21,4302.0
11/15/21,2743.0
11/16/21,6568.0
11/17/21,13112.0
11/18/21,11402.0
11/19/21,12373.0
11/20/21,8215.0
11/21/21,5088.0
11/22/21,4141.0
11/23/21,12440.0
11/24/21,12254.0
11/25/21,12283.0
11/26/21,10879.0
11/27/21,8309.0
11/28/21,3536.0
11/29/21,4489.0
11/30/21,10285.0
12/1/21,12282.0
12/2/21,11931.0
12/3/21,10622.0
12/4/21,7407.0
12/5/21,4693.0
12/6/21,6017.0
12/7/21,10136.0
12/8/21,10132.0
12/9/21,8753.0
12/10/21,7065.0
12/11/21,2684.0
12/12/21,1615.0
12/13/21,2770.0
12/14/21,4379.0
12/15/21,5078.0
12/16/21,3661.0
12/17/21,4363.0
12/18/21,2381.0
12/19/21,1458.0
12/20/21,2639.0
12/21/21,3734.0
12/22/21,3226.0
12/23/21,3774.0
12/24/21,3680.0
12/25/21,3674.0
12/26/21,4969.0
12/27/21,6952.0
12/28/21,9052.0
12/29/21,9761.0
12/30/21,12618.0
12/31/21,10190.0
1/1/22,3782.0
1/2/22,1806.0
1/3/22,11654.0
1/4/22,19171.0
1/5/22,22852.0
1/6/22,35826.0
1/7/22,63292.0
1/8/22,49303.0
1/9/22,29658.0
1/10/22,33921.0
1/11/22,73255.0
1/12/22,87873.0
1/13/22,97945.0
1/14/22,111112.0
1/15/22,48562.0
1/16/22,33277.0
1/17/22,74381.0
1/18/22,140342.0
1/19/22,195541.0
1/20/22,169786.0
1/21/22,171321.0
1/22/22,165110.0
1/23/22,122796.0
1/24/22,87627.0
1/25/22,200290.0
1/26/22,217771.0
1/27/22,229702.0
1/28/22,260806.0
1/29/22,205597.0
1/30/22,104449.0
1/31/22,102883.0
2/1/22,171251.0
2/2/22,185964.0
2/3/22,287149.0
2/4/22,218560.0
2/5/22,158092.0
2/6/22,61853.0
2/7/22,69615.0
2/8/22,177483.0
2/9/22,179417.0
2/10/22,162636.0
2/11/22,163786.0
2/12/22,134950.0
2/13/22,58618.0
2/14/22,59363.0
2/15/22,125201.0
2/16/22,142528.0
2/17/22,120123.0
2/18/22,132119.0
2/19/22,105129.0
2/20/22,40813.0
2/21/22,40278.0
2/22/22,103493.0
2/23/22,131385.0
2/24/22,95899.0
2/25/22,90436.0
2/26/22,69881.0
2/27/22,27242.0
2/28/22,19777.0
3/1/22,22279.0
3/2/22,27645.0
3/3/22,60177.0
3/4/22,71380.0
3/5/22,62748.0
3/6/22,15725.0
3/7/22,21306.0
3/8/22,74487.0
3/9/22,45783.0
3/10/22,61105.0
3/11/22,54022.0
3/12/22,47796.0
3/13/22,13809.0
3/14/22,16512.0
3/15/22,49694.0
3/16/22,47738.0
3/17/22,44033.0
3/18/22,51990.0
3/19/22,39635.0
3/20/22,13379.0
3/21/22,12268.0
3/22/22,41559.0
3/23/22,46721.0
3/24/22,37206.0
3/25/22,34201.0
3/26/22,29334.0
3/27/22,10637.0
3/28/22,7901.0
3/29/22,29550.0
3/30/22,33413.0
3/31/22,31066.0
4/1/22,26843.0
4/2/22,17062.0
4/3/22,7210.0
4/4/22,12572.0
4/5/22,26915.0
4/6/22,26822.0
4/7/22,26234.0
4/8/22,30212.0
4/9/22,21229.0
4/10/22,7210.0
4/11/22,7930.0
4/12/22,22377.0
4/13/22,26648.0
4/14/22,23090.0
4/15/22,13278.0
4/16/22,2775.0
4/17/22,2541.0
4/18/22,8470.0
4/19/22,14131.0
4/20/22,36750.0
4/21/22,18660.0
4/22/22,8068.0
4/23/22,7111.0
4/24/22,3655.0
4/25/22,6456.0
4/26/22,22142.0
4/27/22,20943.0
4/28/22,19916.0
4/29/22,14122.0
4/30/22,15194.0
5/1/22,6263.0
5/2/22,6498.0
