,Canada
1/22/20,0.0
1/23/20,2.0
1/24/20,1.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,1.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,1.0
2/5/20,1.0
2/6/20,0.0
2/7/20,2.0
2/8/20,0.0
2/9/20,0.0
2/10/20,1.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,1.0
2/18/20,0.0
2/19/20,0.0
2/20/20,1.0
2/21/20,2.0
2/22/20,1.0
2/23/20,1.0
2/24/20,1.0
2/25/20,3.0
2/26/20,1.0
2/27/20,2.0
2/28/20,6.0
2/29/20,5.0
3/1/20,5.0
3/2/20,7.0
3/3/20,6.0
3/4/20,8.0
3/5/20,12.0
3/6/20,19.0
3/7/20,8.0
3/8/20,22.0
3/9/20,24.0
3/10/20,21.0
3/11/20,63.0
3/12/20,61.0
3/13/20,97.0
3/14/20,67.0
3/15/20,96.0
3/16/20,151.0
3/17/20,154.0
3/18/20,243.0
3/19/20,252.0
3/20/20,343.0
3/21/20,503.0
3/22/20,456.0
3/23/20,646.0
3/24/20,699.0
3/25/20,573.0
3/26/20,942.0
3/27/20,869.0
3/28/20,930.0
3/29/20,936.0
3/30/20,1232.0
3/31/20,1233.0
4/1/20,1312.0
4/2/20,1719.0
4/3/20,1330.0
4/4/20,1338.0
4/5/20,1189.0
4/6/20,1501.0
4/7/20,1388.0
4/8/20,1236.0
4/9/20,1380.0
4/10/20,1144.0
4/11/20,1376.0
4/12/20,1342.0
4/13/20,1797.0
4/14/20,1689.0
4/15/20,1747.0
4/16/20,1766.0
4/17/20,2126.0
4/18/20,1526.0
4/19/20,1700.0
4/20/20,1712.0
4/21/20,1590.0
4/22/20,1846.0
4/23/20,1809.0
4/24/20,1640.0
4/25/20,1582.0
4/26/20,1211.0
4/27/20,1656.0
4/28/20,1523.0
4/29/20,1689.0
4/30/20,1639.0
5/1/20,1811.0
5/2/20,1356.0
5/3/20,1259.0
5/4/20,1376.0
5/5/20,1395.0
5/6/20,1516.0
5/7/20,1271.0
5/8/20,1200.0
5/9/20,1146.0
5/10/20,1038.0
5/11/20,1024.0
5/12/20,1117.0
5/13/20,1227.0
5/14/20,1110.0
5/15/20,1271.0
5/16/20,1155.0
5/17/20,1208.0
5/18/20,1086.0
5/19/20,1002.0
5/20/20,1256.0
5/21/20,1115.0
5/22/20,1090.0
5/23/20,907.0
5/24/20,953.0
5/25/20,964.0
5/26/20,767.0
5/27/20,885.0
5/28/20,787.0
5/29/20,1069.0
5/30/20,762.0
5/31/20,730.0
6/1/20,796.0
6/2/20,627.0
6/3/20,682.0
6/4/20,582.0
6/5/20,527.0
6/6/20,524.0
6/7/20,412.0
6/8/20,451.0
6/9/20,434.0
6/10/20,490.0
6/11/20,412.0
6/12/20,461.0
6/13/20,341.0
6/14/20,302.0
6/15/20,377.0
6/16/20,359.0
6/17/20,388.0
6/18/20,406.0
6/19/20,388.0
6/20/20,315.0
6/21/20,308.0
6/22/20,355.0
6/23/20,318.0
6/24/20,320.0
6/25/20,294.0
6/26/20,327.0
6/27/20,402.0
6/28/20,313.0
6/29/20,296.0
6/30/20,334.0
7/1/20,222.0
7/2/20,349.0
7/3/20,318.0
7/4/20,228.0
7/5/20,157.0
7/6/20,352.0
7/7/20,313.0
7/8/20,321.0
7/9/20,334.0
7/10/20,348.0
7/11/20,240.0
7/12/20,214.0
7/13/20,542.0
7/14/20,426.0
7/15/20,406.0
7/16/20,482.0
7/17/20,529.0
7/18/20,384.0
7/19/20,253.0
7/20/20,795.0
7/21/20,460.0
7/22/20,382.0
7/23/20,736.0
7/24/20,437.0
7/25/20,336.0
7/26/20,307.0
7/27/20,631.0
7/28/20,377.0
7/29/20,501.0
7/30/20,446.0
7/31/20,452.0
8/1/20,254.0
8/2/20,184.0
8/3/20,267.0
8/4/20,689.0
8/5/20,358.0
8/6/20,333.0
8/7/20,442.0
8/8/20,239.0
8/9/20,223.0
8/10/20,583.0
8/11/20,362.0
8/12/20,333.0
8/13/20,494.0
8/14/20,412.0
8/15/20,210.0
8/16/20,175.0
8/17/20,204.0
8/18/20,903.0
8/19/20,355.0
8/20/20,246.0
8/21/20,705.0
8/22/20,203.0
8/23/20,263.0
8/24/20,741.0
8/25/20,371.0
8/26/20,484.0
8/27/20,475.0
8/28/20,562.0
8/29/20,327.0
8/30/20,278.0
8/31/20,1033.0
9/1/20,537.0
9/2/20,567.0
9/3/20,652.0
9/4/20,638.0
9/5/20,380.0
9/6/20,431.0
9/7/20,417.0
9/8/20,1478.0
9/9/20,506.0
9/10/20,982.0
9/11/20,815.0
9/12/20,639.0
9/13/20,576.0
9/14/20,1329.0
9/15/20,930.0
9/16/20,1004.0
9/17/20,1115.0
9/18/20,1281.0
9/19/20,966.0
9/20/20,934.0
9/21/20,1680.0
9/22/20,1213.0
9/23/20,1425.0
9/24/20,1430.0
9/25/20,1794.0
9/26/20,1633.0
9/27/20,1458.0
9/28/20,2203.0
9/29/20,1932.0
9/30/20,2021.0
10/1/20,1884.0
10/2/20,2167.0
10/3/20,1761.0
10/4/20,1661.0
10/5/20,2419.0
10/6/20,2159.0
10/7/20,2108.0
10/8/20,2402.0
10/9/20,2455.0
10/10/20,1754.0
10/11/20,1897.0
10/12/20,1525.0
10/13/20,3470.0
10/14/20,2539.0
10/15/20,2493.0
10/16/20,2440.0
10/17/20,1783.0
10/18/20,1933.0
10/19/20,3141.0
10/20/20,2478.0
10/21/20,2658.0
10/22/20,2548.0
10/23/20,3105.0
10/24/20,2014.0
10/25/20,1930.0
10/26/20,4230.0
10/27/20,2749.0
10/28/20,2876.0
10/29/20,2956.0
10/30/20,3427.0
10/31/20,2322.0
11/1/20,2517.0
11/2/20,3304.0
11/3/20,4721.0
11/4/20,2859.0
11/5/20,4040.0
11/6/20,4809.0
11/7/20,4230.0
11/8/20,3952.0
11/9/20,4891.0
11/10/20,4641.0
11/11/20,4120.0
11/12/20,5491.0
11/13/20,4864.0
11/14/20,4285.0
11/15/20,4105.0
11/16/20,5818.0
11/17/20,4423.0
11/18/20,4714.0
11/19/20,5015.0
11/20/20,5073.0
11/21/20,4829.0
11/22/20,4634.0
11/23/20,6772.0
11/24/20,5430.0
11/25/20,5645.0
11/26/20,5862.0
11/27/20,5869.0
11/28/20,5584.0
11/29/20,5453.0
11/30/20,7674.0
12/1/20,5800.0
12/2/20,6368.0
12/3/20,6529.0
12/4/20,6823.0
12/5/20,6183.0
12/6/20,5931.0
12/7/20,7815.0
12/8/20,6261.0
12/9/20,6364.0
12/10/20,6564.0
12/11/20,7018.0
12/12/20,6174.0
12/13/20,5992.0
12/14/20,8546.0
12/15/20,6351.0
12/16/20,6818.0
12/17/20,7385.0
12/18/20,7194.0
12/19/20,6173.0
12/20/20,6069.0
12/21/20,7628.0
12/22/20,6524.0
12/23/20,6689.0
12/24/20,6353.0
12/25/20,5924.0
12/26/20,5377.0
12/27/20,5544.0
12/28/20,6270.0
12/29/20,9405.0
12/30/20,7714.0
12/31/20,6995.0
1/1/21,6333.0
1/2/21,5814.0
1/3/21,9625.0
1/4/21,9717.0
1/5/21,7528.0
1/6/21,8911.0
1/7/21,9231.0
1/8/21,8890.0
1/9/21,6890.0
1/10/21,6404.0
1/11/21,7420.0
1/12/21,6803.0
1/13/21,7091.0
1/14/21,7019.0
1/15/21,6949.0
1/16/21,5801.0
1/17/21,4881.0
1/18/21,6045.0
1/19/21,5317.0
1/20/21,5837.0
1/21/21,5842.0
1/22/21,5668.0
1/23/21,4302.0
1/24/21,3940.0
1/25/21,5352.0
1/26/21,4364.0
1/27/21,4451.0
1/28/21,4644.0
1/29/21,4692.0
1/30/21,3703.0
1/31/21,3203.0
2/1/21,4011.0
2/2/21,3630.0
2/3/21,3601.0
2/4/21,3929.0
2/5/21,3964.0
2/6/21,2971.0
2/7/21,2578.0
2/8/21,3508.0
2/9/21,2947.0
2/10/21,3609.0
2/11/21,3376.0
2/12/21,3310.0
2/13/21,2521.0
2/14/21,2210.0
2/15/21,1968.0
2/16/21,3978.0
2/17/21,2861.0
2/18/21,3450.0
2/19/21,3145.0
2/20/21,2573.0
2/21/21,2408.0
2/22/21,3574.0
2/23/21,3023.0
2/24/21,3059.0
2/25/21,3153.0
2/26/21,3115.0
2/27/21,2502.0
2/28/21,2137.0
3/1/21,3512.0
3/2/21,3054.0
3/3/21,2952.0
3/4/21,3239.0
3/5/21,3315.0
3/6/21,2654.0
3/7/21,2369.0
3/8/21,3766.0
3/9/21,3031.0
3/10/21,3210.0
3/11/21,3438.0
3/12/21,3771.0
3/13/21,2816.0
3/14/21,2403.0
3/15/21,3885.0
3/16/21,3478.0
3/17/21,3630.0
3/18/21,3927.0
3/19/21,4347.0
3/20/21,3319.0
3/21/21,3107.0
3/22/21,5087.0
3/23/21,4044.0
3/24/21,4997.0
3/25/21,5167.0
3/26/21,5611.0
3/27/21,4122.0
3/28/21,4028.0
3/29/21,6609.0
3/30/21,5234.0
3/31/21,6518.0
4/1/21,6354.0
4/2/21,4619.0
4/3/21,5962.0
4/4/21,4381.0
4/5/21,7515.0
4/6/21,11181.0
4/7/21,8156.0
4/8/21,8875.0
4/9/21,9193.0
4/10/21,7965.0
4/11/21,7185.0
4/12/21,10371.0
4/13/21,8196.0
4/14/21,9364.0
4/15/21,9756.0
4/16/21,8268.0
4/17/21,7828.0
4/18/21,7191.0
4/19/21,9604.0
4/20/21,7903.0
4/21/21,8216.0
4/22/21,9033.0
4/23/21,8226.0
4/24/21,7184.0
4/25/21,6601.0
4/26/21,8646.0
4/27/21,7503.0
4/28/21,8269.0
4/29/21,8358.0
4/30/21,7966.0
5/1/21,7766.0
5/2/21,6138.0
5/3/21,8316.0
5/4/21,6901.0
5/5/21,7719.0
5/6/21,8083.0
5/7/21,7746.0
5/8/21,6479.0
5/9/21,5535.0
5/10/21,6941.0
5/11/21,6082.0
5/12/21,6614.0
5/13/21,6352.0
5/14/21,6006.0
5/15/21,4793.0
5/16/21,4269.0
5/17/21,4996.0
5/18/21,4377.0
5/19/21,4990.0
5/20/21,4478.0
5/21/21,4471.0
5/22/21,3432.0
5/23/21,2831.0
5/24/21,2373.0
5/25/21,3497.0
5/26/21,2851.0
5/27/21,3026.0
5/28/21,2944.0
5/29/21,2348.0
5/30/21,1852.0
5/31/21,2350.0
6/1/21,1829.0
6/2/21,2196.0
6/3/21,2155.0
6/4/21,1813.0
6/5/21,1501.0
6/6/21,1188.0
6/7/21,1463.0
6/8/21,1374.0
6/9/21,1573.0
6/10/21,1438.0
6/11/21,1349.0
6/12/21,1162.0
6/13/21,922.0
6/14/21,1052.0
6/15/21,970.0
6/16/21,1018.0
6/17/21,1098.0
6/18/21,989.0
6/19/21,743.0
6/20/21,619.0
6/21/21,684.0
6/22/21,652.0
6/23/21,709.0
6/24/21,708.0
6/25/21,638.0
6/26/21,520.0
6/27/21,403.0
6/28/21,712.0
6/29/21,628.0
6/30/21,550.0
7/1/21,276.0
7/2/21,656.0
7/3/21,385.0
7/4/21,293.0
7/5/21,573.0
7/6/21,405.0
7/7/21,560.0
7/8/21,523.0
7/9/21,534.0
7/10/21,347.0
7/11/21,269.0
7/12/21,454.0
7/13/21,365.0
7/14/21,324.0
7/15/21,447.0
7/16/21,366.0
7/17/21,347.0
7/18/21,291.0
7/19/21,565.0
7/20/21,355.0
7/21/21,538.0
7/22/21,394.0
7/23/21,595.0
7/24/21,374.0
7/25/21,294.0
7/26/21,944.0
7/27/21,594.0
7/28/21,843.0
7/29/21,931.0
7/30/21,905.0
7/31/21,472.0
8/1/21,380.0
8/2/21,336.0
8/3/21,2029.0
8/4/21,1094.0
8/5/21,1590.0
8/6/21,1625.0
8/7/21,719.0
8/8/21,729.0
8/9/21,2857.0
8/10/21,1416.0
8/11/21,2080.0
8/12/21,2162.0
8/13/21,2438.0
8/14/21,1072.0
8/15/21,927.0
8/16/21,3904.0
8/17/21,1989.0
8/18/21,2587.0
8/19/21,2911.0
8/20/21,3058.0
8/21/21,1435.0
8/22/21,1191.0
8/23/21,4831.0
8/24/21,2476.0
8/25/21,3474.0
8/26/21,3562.0
8/27/21,3755.0
8/28/21,1671.0
8/29/21,1434.0
8/30/21,6442.0
8/31/21,3149.0
9/1/21,4005.0
9/2/21,4057.0
9/3/21,4228.0
9/4/21,1700.0
9/5/21,1801.0
9/6/21,1504.0
9/7/21,9072.0
9/8/21,3937.0
9/9/21,4253.0
9/10/21,4651.0
9/11/21,1100.0
9/12/21,2793.0
9/13/21,8746.0
9/14/21,4248.0
9/15/21,4457.0
9/16/21,4666.0
9/17/21,5021.0
9/18/21,1998.0
9/19/21,1817.0
9/20/21,8566.0
9/21/21,3898.0
9/22/21,4128.0
9/23/21,4584.0
9/24/21,4533.0
9/25/21,1217.0
9/26/21,1112.0
9/27/21,10900.0
9/28/21,3627.0
9/29/21,4409.0
9/30/21,3708.0
10/1/21,5287.0
10/2/21,1788.0
10/3/21,1464.0
10/4/21,7999.0
10/5/21,2886.0
10/6/21,3835.0
10/7/21,4144.0
10/8/21,4108.0
10/9/21,1710.0
10/10/21,1569.0
10/11/21,1378.0
10/12/21,7119.0
10/13/21,2677.0
10/14/21,3349.0
10/15/21,3426.0
10/16/21,1577.0
10/17/21,1292.0
10/18/21,5431.0
10/19/21,2265.0
10/20/21,2804.0
10/21/21,2853.0
10/22/21,2581.0
10/23/21,1755.0
10/24/21,1496.0
10/25/21,3357.0
10/26/21,1807.0
10/27/21,2650.0
10/28/21,2648.0
10/29/21,2534.0
10/30/21,1788.0
10/31/21,1563.0
11/1/21,3003.0
11/2/21,1953.0
11/3/21,2398.0
11/4/21,2680.0
11/5/21,2570.0
11/6/21,1432.0
11/7/21,1233.0
11/8/21,4543.0
11/9/21,2482.0
11/10/21,2728.0
11/11/21,1618.0
11/12/21,3878.0
11/13/21,1445.0
11/14/21,1301.0
11/15/21,4026.0
11/16/21,2107.0
11/17/21,2613.0
11/18/21,2838.0
11/19/21,2759.0
11/20/21,1862.0
11/21/21,1470.0
11/22/21,4165.0
11/23/21,2378.0
11/24/21,2797.0
11/25/21,4397.0
11/26/21,3025.0
11/27/21,2202.0
11/28/21,1734.0
11/29/21,3774.0
11/30/21,2618.0
12/1/21,3414.0
12/2/21,3385.0
12/3/21,3637.0
12/4/21,2622.0
12/5/21,2310.0
12/6/21,4687.0
12/7/21,3255.0
12/8/21,3938.0
12/9/21,4515.0
12/10/21,3085.0
12/11/21,5743.0
12/12/21,3531.0
12/13/21,6103.0
12/14/21,5240.0
12/15/21,7181.0
12/16/21,7924.0
12/17/21,10017.0
12/18/21,8304.0
12/19/21,8386.0
12/20/21,15450.0
12/21/21,14141.0
12/22/21,18900.0
12/23/21,25965.0
12/24/21,25184.0
12/25/21,19026.0
12/26/21,18174.0
12/27/21,22388.0
12/28/21,28085.0
12/29/21,55060.0
12/30/21,42954.0
12/31/21,42936.0
1/1/22,33012.0
1/2/22,29988.0
1/3/22,36321.0
1/4/22,49267.0
1/5/22,39919.0
1/6/22,41879.0
1/7/22,45491.0
1/8/22,29032.0
1/9/22,26272.0
1/10/22,58155.0
1/11/22,33157.0
1/12/22,34873.0
1/13/22,31587.0
1/14/22,40510.0
1/15/22,18147.0
1/16/22,15277.0
1/17/22,41407.0
1/18/22,20864.0
1/19/22,23472.0
1/20/22,22966.0
1/21/22,21193.0
1/22/22,13783.0
1/23/22,5268.0
1/24/22,19230.0
1/25/22,29249.0
1/26/22,7479.0
1/27/22,28575.0
1/28/22,16539.0
1/29/22,8436.0
1/30/22,7290.0
1/31/22,21281.0
2/1/22,11937.0
2/2/22,15352.0
2/3/22,13172.0
2/4/22,13098.0
2/5/22,6623.0
2/6/22,5403.0
2/7/22,16050.0
2/8/22,10040.0
2/9/22,10325.0
2/10/22,10431.0
2/11/22,7353.0
2/12/22,9844.0
2/13/22,3615.0
2/14/22,12189.0
2/15/22,6456.0
2/16/22,7756.0
2/17/22,7195.0
2/18/22,6747.0
2/19/22,3544.0
2/20/22,2448.0
2/21/22,3657.0
2/22/22,7991.0
2/23/22,9812.0
2/24/22,5761.0
2/25/22,8632.0
2/26/22,1812.0
2/27/22,3584.0
2/28/22,7919.0
3/1/22,5110.0
3/2/22,5913.0
3/3/22,8355.0
3/4/22,9503.0
3/5/22,3197.0
3/6/22,2613.0
3/7/22,8455.0
3/8/22,4153.0
3/9/22,6741.0
3/10/22,5607.0
3/11/22,8058.0
3/12/22,1824.0
3/13/22,1393.0
3/14/22,4522.0
3/15/22,9031.0
3/16/22,5289.0
3/17/22,4200.0
3/18/22,3340.0
3/19/22,3007.0
3/20/22,2253.0
3/21/22,8153.0
3/22/22,9466.0
3/23/22,6824.0
3/24/22,7053.0
3/25/22,8944.0
3/26/22,4374.0
3/27/22,3654.0
3/28/22,6150.0
3/29/22,10561.0
3/30/22,10976.0
3/31/22,8791.0
4/1/22,13015.0
4/2/22,7014.0
4/3/22,2581.0
4/4/22,563.0
4/5/22,8904.0
4/6/22,9552.0
4/7/22,6019.0
4/8/22,0.0
4/9/22,15567.0
4/10/22,0.0
4/11/22,0.0
4/12/22,0.0
4/13/22,63808.0
4/14/22,18945.0
4/15/22,-8046.0
4/16/22,16687.0
4/17/22,1938.0
4/18/22,11974.0
4/19/22,7893.0
4/20/22,13433.0
4/21/22,10515.0
4/22/22,17290.0
4/23/22,4751.0
4/24/22,4657.0
4/25/22,3883.0
4/26/22,7590.0
4/27/22,13085.0
4/28/22,8497.0
4/29/22,12229.0
4/30/22,3456.0
5/1/22,2619.0
5/2/22,2666.0
