,India
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,1.0
1/31/20,0.0
2/1/20,0.0
2/2/20,1.0
2/3/20,1.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,2.0
3/3/20,0.0
3/4/20,23.0
3/5/20,2.0
3/6/20,1.0
3/7/20,3.0
3/8/20,5.0
3/9/20,4.0
3/10/20,13.0
3/11/20,6.0
3/12/20,11.0
3/13/20,9.0
3/14/20,20.0
3/15/20,11.0
3/16/20,6.0
3/17/20,23.0
3/18/20,14.0
3/19/20,38.0
3/20/20,50.0
3/21/20,86.0
3/22/20,66.0
3/23/20,103.0
3/24/20,37.0
3/25/20,121.0
3/26/20,70.0
3/27/20,160.0
3/28/20,100.0
3/29/20,37.0
3/30/20,227.0
3/31/20,146.0
4/1/20,601.0
4/2/20,545.0
4/3/20,24.0
4/4/20,515.0
4/5/20,506.0
4/6/20,1190.0
4/7/20,533.0
4/8/20,605.0
4/9/20,809.0
4/10/20,873.0
4/11/20,848.0
4/12/20,759.0
4/13/20,1248.0
4/14/20,1034.0
4/15/20,835.0
4/16/20,1108.0
4/17/20,922.0
4/18/20,1370.0
4/19/20,1893.0
4/20/20,924.0
4/21/20,1541.0
4/22/20,1290.0
4/23/20,1707.0
4/24/20,1453.0
4/25/20,1753.0
4/26/20,1607.0
4/27/20,1561.0
4/28/20,1873.0
4/29/20,1738.0
4/30/20,1801.0
5/1/20,2394.0
5/2/20,2442.0
5/3/20,2806.0
5/4/20,3932.0
5/5/20,2963.0
5/6/20,3587.0
5/7/20,3364.0
5/8/20,3344.0
5/9/20,3113.0
5/10/20,4353.0
5/11/20,3607.0
5/12/20,3524.0
5/13/20,3763.0
5/14/20,3942.0
5/15/20,3787.0
5/16/20,4864.0
5/17/20,5050.0
5/18/20,4630.0
5/19/20,6147.0
5/20/20,5553.0
5/21/20,6198.0
5/22/20,6568.0
5/23/20,6629.0
5/24/20,7113.0
5/25/20,6414.0
5/26/20,5843.0
5/27/20,7293.0
5/28/20,7300.0
5/29/20,8105.0
5/30/20,8336.0
5/31/20,8782.0
6/1/20,7761.0
6/2/20,8821.0
6/3/20,9633.0
6/4/20,9889.0
6/5/20,9471.0
6/6/20,10438.0
6/7/20,10864.0
6/8/20,8442.0
6/9/20,10218.0
6/10/20,10459.0
6/11/20,10930.0
6/12/20,11458.0
6/13/20,11929.0
6/14/20,11502.0
6/15/20,10667.0
6/16/20,10974.0
6/17/20,12881.0
6/18/20,13586.0
6/19/20,14516.0
6/20/20,15403.0
6/21/20,14831.0
6/22/20,14933.0
6/23/20,15968.0
6/24/20,16922.0
6/25/20,17296.0
6/26/20,18552.0
6/27/20,19906.0
6/28/20,19459.0
6/29/20,18522.0
6/30/20,18641.0
7/1/20,19160.0
7/2/20,20903.0
7/3/20,22771.0
7/4/20,24850.0
7/5/20,24248.0
7/6/20,22251.0
7/7/20,22753.0
7/8/20,24879.0
7/9/20,26506.0
7/10/20,27114.0
7/11/20,28606.0
7/12/20,28732.0
7/13/20,28498.0
7/14/20,29429.0
7/15/20,32676.0
7/16/20,34975.0
7/17/20,35252.0
7/18/20,38697.0
7/19/20,40425.0
7/20/20,37132.0
7/21/20,37740.0
7/22/20,45720.0
7/23/20,49310.0
7/24/20,48916.0
7/25/20,48611.0
7/26/20,49981.0
7/27/20,44457.0
7/28/20,51596.0
7/29/20,50294.0
7/30/20,52783.0
7/31/20,61242.0
8/1/20,54735.0
8/2/20,52972.0
8/3/20,52050.0
8/4/20,52509.0
8/5/20,56282.0
8/6/20,62538.0
8/7/20,61537.0
8/8/20,64399.0
8/9/20,62064.0
8/10/20,53601.0
8/11/20,60963.0
8/12/20,66999.0
8/13/20,64553.0
8/14/20,64732.0
8/15/20,64030.0
8/16/20,57711.0
8/17/20,55018.0
8/18/20,64572.0
8/19/20,69672.0
8/20/20,68900.0
8/21/20,69876.0
8/22/20,69239.0
8/23/20,61408.0
8/24/20,60975.0
8/25/20,57224.0
8/26/20,85687.0
8/27/20,77266.0
8/28/20,76472.0
8/29/20,78761.0
8/30/20,78512.0
8/31/20,69921.0
9/1/20,78357.0
9/2/20,83883.0
9/3/20,83341.0
9/4/20,86432.0
9/5/20,90632.0
9/6/20,90802.0
9/7/20,75809.0
9/8/20,89706.0
9/9/20,95735.0
9/10/20,96551.0
9/11/20,97570.0
9/12/20,94372.0
9/13/20,92071.0
9/14/20,83809.0
9/15/20,90123.0
9/16/20,97894.0
9/17/20,96424.0
9/18/20,93337.0
9/19/20,92605.0
9/20/20,86961.0
9/21/20,75083.0
9/22/20,83347.0
9/23/20,86508.0
9/24/20,86052.0
9/25/20,85362.0
9/26/20,88600.0
9/27/20,82170.0
9/28/20,70589.0
9/29/20,80472.0
9/30/20,86821.0
10/1/20,81484.0
10/2/20,79476.0
10/3/20,75829.0
10/4/20,74442.0
10/5/20,61267.0
10/6/20,72049.0
10/7/20,78524.0
10/8/20,70496.0
10/9/20,73272.0
10/10/20,74383.0
10/11/20,66732.0
10/12/20,55342.0
10/13/20,63509.0
10/14/20,67708.0
10/15/20,63371.0
10/16/20,62212.0
10/17/20,61871.0
10/18/20,55722.0
10/19/20,46790.0
10/20/20,54044.0
10/21/20,55839.0
10/22/20,54366.0
10/23/20,53370.0
10/24/20,50129.0
10/25/20,45148.0
10/26/20,36470.0
10/27/20,43893.0
10/28/20,49881.0
10/29/20,48648.0
10/30/20,48268.0
10/31/20,46963.0
11/1/20,45231.0
11/2/20,38310.0
11/3/20,46253.0
11/4/20,50210.0
11/5/20,47638.0
11/6/20,50356.0
11/7/20,45674.0
11/8/20,45903.0
11/9/20,38073.0
11/10/20,44281.0
11/11/20,47905.0
11/12/20,44879.0
11/13/20,44684.0
11/14/20,41100.0
11/15/20,30548.0
11/16/20,29163.0
11/17/20,38617.0
11/18/20,45576.0
11/19/20,45882.0
11/20/20,46232.0
11/21/20,45209.0
11/22/20,44059.0
11/23/20,37975.0
11/24/20,44376.0
11/25/20,44489.0
11/26/20,43082.0
11/27/20,41322.0
11/28/20,41810.0
11/29/20,38772.0
11/30/20,31118.0
12/1/20,36604.0
12/2/20,35551.0
12/3/20,36595.0
12/4/20,36652.0
12/5/20,36011.0
12/6/20,32981.0
12/7/20,26567.0
12/8/20,32080.0
12/9/20,31521.0
12/10/20,29373.0
12/11/20,30031.0
12/12/20,30254.0
12/13/20,27071.0
12/14/20,22065.0
12/15/20,26382.0
12/16/20,24010.0
12/17/20,22890.0
12/18/20,25152.0
12/19/20,26624.0
12/20/20,24337.0
12/21/20,19556.0
12/22/20,23950.0
12/23/20,24712.0
12/24/20,23067.0
12/25/20,22273.0
12/26/20,18732.0
12/27/20,20021.0
12/28/20,16432.0
12/29/20,20549.0
12/30/20,21822.0
12/31/20,20035.0
1/1/21,19079.0
1/2/21,18177.0
1/3/21,16504.0
1/4/21,16375.0
1/5/21,18088.0
1/6/21,20346.0
1/7/21,18139.0
1/8/21,0.0
1/9/21,36867.0
1/10/21,16311.0
1/11/21,12584.0
1/12/21,15968.0
1/13/21,16946.0
1/14/21,15590.0
1/15/21,15158.0
1/16/21,15144.0
1/17/21,13788.0
1/18/21,10050.0
1/19/21,13816.0
1/20/21,15244.0
1/21/21,14545.0
1/22/21,14256.0
1/23/21,14849.0
1/24/21,13203.0
1/25/21,9102.0
1/26/21,12689.0
1/27/21,11666.0
1/28/21,18855.0
1/29/21,13082.0
1/30/21,13044.0
1/31/21,11436.0
2/1/21,8635.0
2/2/21,11039.0
2/3/21,12899.0
2/4/21,12408.0
2/5/21,11713.0
2/6/21,12059.0
2/7/21,11831.0
2/8/21,9110.0
2/9/21,11067.0
2/10/21,12923.0
2/11/21,9309.0
2/12/21,12143.0
2/13/21,12194.0
2/14/21,11649.0
2/15/21,9121.0
2/16/21,11610.0
2/17/21,12881.0
2/18/21,13193.0
2/19/21,13993.0
2/20/21,14264.0
2/21/21,14199.0
2/22/21,10584.0
2/23/21,13742.0
2/24/21,16738.0
2/25/21,16577.0
2/26/21,16488.0
2/27/21,16752.0
2/28/21,15510.0
3/1/21,12286.0
3/2/21,14989.0
3/3/21,17407.0
3/4/21,16838.0
3/5/21,18284.0
3/6/21,18754.0
3/7/21,18599.0
3/8/21,15388.0
3/9/21,17921.0
3/10/21,22854.0
3/11/21,23285.0
3/12/21,24882.0
3/13/21,25320.0
3/14/21,26291.0
3/15/21,24492.0
3/16/21,28903.0
3/17/21,35871.0
3/18/21,39726.0
3/19/21,40953.0
3/20/21,43846.0
3/21/21,46951.0
3/22/21,40715.0
3/23/21,47262.0
3/24/21,53476.0
3/25/21,59118.0
3/26/21,62258.0
3/27/21,62714.0
3/28/21,68020.0
3/29/21,56211.0
3/30/21,53480.0
3/31/21,72330.0
4/1/21,81466.0
4/2/21,89129.0
4/3/21,93249.0
4/4/21,103558.0
4/5/21,96982.0
4/6/21,115736.0
4/7/21,126789.0
4/8/21,131968.0
4/9/21,145384.0
4/10/21,152879.0
4/11/21,168912.0
4/12/21,161736.0
4/13/21,184372.0
4/14/21,200739.0
4/15/21,217353.0
4/16/21,234692.0
4/17/21,261394.0
4/18/21,273802.0
4/19/21,259167.0
4/20/21,295158.0
4/21/21,314644.0
4/22/21,332921.0
4/23/21,346786.0
4/24/21,349691.0
4/25/21,352991.0
4/26/21,323023.0
4/27/21,360927.0
4/28/21,379308.0
4/29/21,386555.0
4/30/21,401993.0
5/1/21,392488.0
5/2/21,368060.0
5/3/21,357316.0
5/4/21,382146.0
5/5/21,412431.0
5/6/21,414188.0
5/7/21,401078.0
5/8/21,403405.0
5/9/21,366494.0
5/10/21,329942.0
5/11/21,348421.0
5/12/21,362727.0
5/13/21,343144.0
5/14/21,326098.0
5/15/21,311170.0
5/16/21,281386.0
5/17/21,263533.0
5/18/21,267334.0
5/19/21,276110.0
5/20/21,259551.0
5/21/21,257299.0
5/22/21,240842.0
5/23/21,222315.0
5/24/21,196427.0
5/25/21,208921.0
5/26/21,211298.0
5/27/21,186364.0
5/28/21,173790.0
5/29/21,165553.0
5/30/21,152734.0
5/31/21,127510.0
6/1/21,132788.0
6/2/21,134154.0
6/3/21,132364.0
6/4/21,120529.0
6/5/21,114460.0
6/6/21,100636.0
6/7/21,86498.0
6/8/21,92596.0
6/9/21,93463.0
6/10/21,92291.0
6/11/21,84332.0
6/12/21,80834.0
6/13/21,70421.0
6/14/21,60471.0
6/15/21,62224.0
6/16/21,67208.0
6/17/21,62480.0
6/18/21,60753.0
6/19/21,58226.0
6/20/21,53449.0
6/21/21,42640.0
6/22/21,50848.0
6/23/21,54069.0
6/24/21,51667.0
6/25/21,48698.0
6/26/21,50040.0
6/27/21,46148.0
6/28/21,37566.0
6/29/21,45951.0
6/30/21,48786.0
7/1/21,46617.0
7/2/21,44111.0
7/3/21,43071.0
7/4/21,39796.0
7/5/21,34703.0
7/6/21,43733.0
7/7/21,45892.0
7/8/21,43393.0
7/9/21,42766.0
7/10/21,41506.0
7/11/21,37154.0
7/12/21,32906.0
7/13/21,38865.0
7/14/21,41733.0
7/15/21,38949.0
7/16/21,38079.0
7/17/21,41157.0
7/18/21,38164.0
7/19/21,30093.0
7/20/21,42015.0
7/21/21,41383.0
7/22/21,35342.0
7/23/21,39097.0
7/24/21,39742.0
7/25/21,39361.0
7/26/21,29689.0
7/27/21,43654.0
7/28/21,43509.0
7/29/21,44230.0
7/30/21,41649.0
7/31/21,41831.0
8/1/21,40134.0
8/2/21,30549.0
8/3/21,42625.0
8/4/21,42982.0
8/5/21,44643.0
8/6/21,38628.0
8/7/21,39070.0
8/8/21,35499.0
8/9/21,28204.0
8/10/21,38353.0
8/11/21,41195.0
8/12/21,40120.0
8/13/21,38667.0
8/14/21,36083.0
8/15/21,32937.0
8/16/21,25166.0
8/17/21,35178.0
8/18/21,36401.0
8/19/21,36571.0
8/20/21,34457.0
8/21/21,30948.0
8/22/21,25072.0
8/23/21,25467.0
8/24/21,37593.0
8/25/21,46164.0
8/26/21,44658.0
8/27/21,46759.0
8/28/21,45083.0
8/29/21,42909.0
8/30/21,30941.0
8/31/21,41965.0
9/1/21,47092.0
9/2/21,45352.0
9/3/21,42618.0
9/4/21,42766.0
9/5/21,38948.0
9/6/21,31222.0
9/7/21,37875.0
9/8/21,43263.0
9/9/21,34973.0
9/10/21,33376.0
9/11/21,28591.0
9/12/21,27254.0
9/13/21,25404.0
9/14/21,27176.0
9/15/21,30570.0
9/16/21,34403.0
9/17/21,35662.0
9/18/21,30773.0
9/19/21,30256.0
9/20/21,26115.0
9/21/21,26964.0
9/22/21,31923.0
9/23/21,31382.0
9/24/21,29616.0
9/25/21,28326.0
9/26/21,26041.0
9/27/21,18795.0
9/28/21,18870.0
9/29/21,23529.0
9/30/21,26727.0
10/1/21,24354.0
10/2/21,22842.0
10/3/21,20799.0
10/4/21,18346.0
10/5/21,18833.0
10/6/21,22431.0
10/7/21,21257.0
10/8/21,19740.0
10/9/21,18166.0
10/10/21,18132.0
10/11/21,14313.0
10/12/21,15823.0
10/13/21,18987.0
10/14/21,16862.0
10/15/21,15981.0
10/16/21,14146.0
10/17/21,13596.0
10/18/21,13058.0
10/19/21,14623.0
10/20/21,18454.0
10/21/21,15786.0
10/22/21,16326.0
10/23/21,15906.0
10/24/21,14306.0
10/25/21,12428.0
10/26/21,13451.0
10/27/21,16156.0
10/28/21,14348.0
10/29/21,14313.0
10/30/21,12830.0
10/31/21,12514.0
11/1/21,10423.0
11/2/21,11903.0
11/3/21,12885.0
11/4/21,12729.0
11/5/21,10929.0
11/6/21,10826.0
11/7/21,11478.0
11/8/21,10126.0
11/9/21,11466.0
11/10/21,13091.0
11/11/21,12516.0
11/12/21,11850.0
11/13/21,11271.0
11/14/21,10229.0
11/15/21,8865.0
11/16/21,10197.0
11/17/21,11919.0
11/18/21,11106.0
11/19/21,10302.0
11/20/21,10488.0
11/21/21,8488.0
11/22/21,7579.0
11/23/21,9283.0
11/24/21,9119.0
11/25/21,10549.0
11/26/21,8318.0
11/27/21,8774.0
11/28/21,8309.0
11/29/21,6990.0
11/30/21,8954.0
12/1/21,9765.0
12/2/21,9216.0
12/3/21,8603.0
12/4/21,0.0
12/5/21,17201.0
12/6/21,6822.0
12/7/21,8439.0
12/8/21,9419.0
12/9/21,8402.0
12/10/21,7990.0
12/11/21,7877.0
12/12/21,7350.0
12/13/21,5784.0
12/14/21,6984.0
12/15/21,7974.0
12/16/21,7447.0
12/17/21,0.0
12/18/21,7145.0
12/19/21,13644.0
12/20/21,5326.0
12/21/21,6317.0
12/22/21,7495.0
12/23/21,6650.0
12/24/21,7189.0
12/25/21,6987.0
12/26/21,6531.0
12/27/21,6358.0
12/28/21,9195.0
12/29/21,13154.0
12/30/21,16764.0
12/31/21,22775.0
1/1/22,27553.0
1/2/22,33750.0
1/3/22,37379.0
1/4/22,58097.0
1/5/22,90928.0
1/6/22,117100.0
1/7/22,141986.0
1/8/22,159632.0
1/9/22,179723.0
1/10/22,168063.0
1/11/22,194720.0
1/12/22,247417.0
1/13/22,264202.0
1/14/22,268833.0
1/15/22,271202.0
1/16/22,258089.0
1/17/22,238018.0
1/18/22,282970.0
1/19/22,317532.0
1/20/22,347254.0
1/21/22,337704.0
1/22/22,333533.0
1/23/22,306064.0
1/24/22,255874.0
1/25/22,285914.0
1/26/22,286384.0
1/27/22,251209.0
1/28/22,235532.0
1/29/22,234281.0
1/30/22,209918.0
1/31/22,167059.0
2/1/22,161386.0
2/2/22,172433.0
2/3/22,149394.0
2/4/22,127952.0
2/5/22,107474.0
2/6/22,83876.0
2/7/22,67597.0
2/8/22,71365.0
2/9/22,67084.0
2/10/22,58077.0
2/11/22,50407.0
2/12/22,44877.0
2/13/22,34113.0
2/14/22,27409.0
2/15/22,30615.0
2/16/22,30757.0
2/17/22,25920.0
2/18/22,22270.0
2/19/22,19968.0
2/20/22,16051.0
2/21/22,13405.0
2/22/22,15102.0
2/23/22,14148.0
2/24/22,13166.0
2/25/22,11499.0
2/26/22,10273.0
2/27/22,8013.0
2/28/22,6915.0
3/1/22,7554.0
3/2/22,6561.0
3/3/22,6396.0
3/4/22,5921.0
3/5/22,5476.0
3/6/22,4362.0
3/7/22,3993.0
3/8/22,4575.0
3/9/22,4184.0
3/10/22,4194.0
3/11/22,3614.0
3/12/22,3116.0
3/13/22,2503.0
3/14/22,2568.0
3/15/22,2876.0
3/16/22,2539.0
3/17/22,2528.0
3/18/22,2075.0
3/19/22,1761.0
3/20/22,1549.0
3/21/22,1581.0
3/22/22,1778.0
3/23/22,1938.0
3/24/22,1685.0
3/25/22,1660.0
3/26/22,1421.0
3/27/22,1270.0
3/28/22,1259.0
3/29/22,1233.0
3/30/22,1225.0
3/31/22,1335.0
4/1/22,1260.0
4/2/22,1096.0
4/3/22,913.0
4/4/22,795.0
4/5/22,1086.0
4/6/22,1033.0
4/7/22,1109.0
4/8/22,1150.0
4/9/22,1054.0
4/10/22,861.0
4/11/22,796.0
4/12/22,1088.0
4/13/22,1007.0
4/14/22,949.0
4/15/22,975.0
4/16/22,1150.0
4/17/22,2183.0
4/18/22,1247.0
4/19/22,2067.0
4/20/22,2380.0
4/21/22,2451.0
4/22/22,2527.0
4/23/22,2593.0
4/24/22,2541.0
4/25/22,11.0
4/26/22,5399.0
4/27/22,3303.0
4/28/22,3377.0
4/29/22,3688.0
4/30/22,3324.0
5/1/22,3157.0
5/2/22,2568.0
