,Italy
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,2.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,1.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,17.0
2/22/20,42.0
2/23/20,93.0
2/24/20,74.0
2/25/20,93.0
2/26/20,131.0
2/27/20,202.0
2/28/20,233.0
2/29/20,240.0
3/1/20,566.0
3/2/20,342.0
3/3/20,466.0
3/4/20,587.0
3/5/20,769.0
3/6/20,778.0
3/7/20,1247.0
3/8/20,1492.0
3/9/20,1797.0
3/10/20,977.0
3/11/20,2313.0
3/12/20,2651.0
3/13/20,2547.0
3/14/20,3497.0
3/15/20,3590.0
3/16/20,3233.0
3/17/20,3526.0
3/18/20,4207.0
3/19/20,5322.0
3/20/20,5986.0
3/21/20,6557.0
3/22/20,5560.0
3/23/20,4789.0
3/24/20,5249.0
3/25/20,5210.0
3/26/20,6203.0
3/27/20,5909.0
3/28/20,5974.0
3/29/20,5217.0
3/30/20,4050.0
3/31/20,4053.0
4/1/20,4782.0
4/2/20,4668.0
4/3/20,4585.0
4/4/20,4805.0
4/5/20,4316.0
4/6/20,3599.0
4/7/20,3039.0
4/8/20,3836.0
4/9/20,4204.0
4/10/20,3951.0
4/11/20,4694.0
4/12/20,4092.0
4/13/20,3153.0
4/14/20,2972.0
4/15/20,2667.0
4/16/20,3786.0
4/17/20,3493.0
4/18/20,3491.0
4/19/20,3047.0
4/20/20,2256.0
4/21/20,2729.0
4/22/20,3370.0
4/23/20,2646.0
4/24/20,3021.0
4/25/20,2357.0
4/26/20,2324.0
4/27/20,1739.0
4/28/20,2091.0
4/29/20,2086.0
4/30/20,1872.0
5/1/20,1965.0
5/2/20,1900.0
5/3/20,1389.0
5/4/20,1221.0
5/5/20,1075.0
5/6/20,1444.0
5/7/20,1401.0
5/8/20,1327.0
5/9/20,1083.0
5/10/20,802.0
5/11/20,744.0
5/12/20,1402.0
5/13/20,888.0
5/14/20,992.0
5/15/20,789.0
5/16/20,875.0
5/17/20,675.0
5/18/20,451.0
5/19/20,813.0
5/20/20,665.0
5/21/20,642.0
5/22/20,652.0
5/23/20,669.0
5/24/20,531.0
5/25/20,300.0
5/26/20,397.0
5/27/20,584.0
5/28/20,593.0
5/29/20,516.0
5/30/20,416.0
5/31/20,333.0
6/1/20,200.0
6/2/20,318.0
6/3/20,321.0
6/4/20,177.0
6/5/20,518.0
6/6/20,270.0
6/7/20,197.0
6/8/20,280.0
6/9/20,283.0
6/10/20,202.0
6/11/20,379.0
6/12/20,163.0
6/13/20,346.0
6/14/20,338.0
6/15/20,301.0
6/16/20,210.0
6/17/20,328.0
6/18/20,331.0
6/19/20,-148.0
6/20/20,264.0
6/21/20,224.0
6/22/20,221.0
6/23/20,113.0
6/24/20,577.0
6/25/20,296.0
6/26/20,255.0
6/27/20,175.0
6/28/20,174.0
6/29/20,126.0
6/30/20,142.0
7/1/20,182.0
7/2/20,201.0
7/3/20,223.0
7/4/20,235.0
7/5/20,192.0
7/6/20,208.0
7/7/20,137.0
7/8/20,193.0
7/9/20,214.0
7/10/20,276.0
7/11/20,188.0
7/12/20,234.0
7/13/20,169.0
7/14/20,114.0
7/15/20,162.0
7/16/20,230.0
7/17/20,231.0
7/18/20,249.0
7/19/20,218.0
7/20/20,190.0
7/21/20,128.0
7/22/20,280.0
7/23/20,306.0
7/24/20,252.0
7/25/20,274.0
7/26/20,254.0
7/27/20,168.0
7/28/20,202.0
7/29/20,288.0
7/30/20,382.0
7/31/20,379.0
8/1/20,295.0
8/2/20,238.0
8/3/20,159.0
8/4/20,190.0
8/5/20,384.0
8/6/20,401.0
8/7/20,552.0
8/8/20,347.0
8/9/20,463.0
8/10/20,259.0
8/11/20,412.0
8/12/20,476.0
8/13/20,522.0
8/14/20,574.0
8/15/20,629.0
8/16/20,477.0
8/17/20,320.0
8/18/20,401.0
8/19/20,642.0
8/20/20,840.0
8/21/20,947.0
8/22/20,1071.0
8/23/20,1209.0
8/24/20,953.0
8/25/20,876.0
8/26/20,1366.0
8/27/20,1409.0
8/28/20,1460.0
8/29/20,1444.0
8/30/20,1365.0
8/31/20,996.0
9/1/20,975.0
9/2/20,1326.0
9/3/20,1397.0
9/4/20,1732.0
9/5/20,1694.0
9/6/20,1296.0
9/7/20,1150.0
9/8/20,1369.0
9/9/20,1430.0
9/10/20,1597.0
9/11/20,1616.0
9/12/20,1501.0
9/13/20,1456.0
9/14/20,1008.0
9/15/20,1229.0
9/16/20,1452.0
9/17/20,1583.0
9/18/20,1907.0
9/19/20,1637.0
9/20/20,1587.0
9/21/20,1350.0
9/22/20,1391.0
9/23/20,1640.0
9/24/20,1786.0
9/25/20,1912.0
9/26/20,1869.0
9/27/20,1766.0
9/28/20,1494.0
9/29/20,1647.0
9/30/20,1850.0
10/1/20,2548.0
10/2/20,2499.0
10/3/20,2843.0
10/4/20,2578.0
10/5/20,2257.0
10/6/20,2677.0
10/7/20,3677.0
10/8/20,4458.0
10/9/20,5372.0
10/10/20,5724.0
10/11/20,5456.0
10/12/20,4619.0
10/13/20,5898.0
10/14/20,7332.0
10/15/20,8803.0
10/16/20,10009.0
10/17/20,10925.0
10/18/20,11705.0
10/19/20,9337.0
10/20/20,10871.0
10/21/20,15199.0
10/22/20,16078.0
10/23/20,19143.0
10/24/20,19640.0
10/25/20,21273.0
10/26/20,17007.0
10/27/20,21989.0
10/28/20,24988.0
10/29/20,26829.0
10/30/20,31079.0
10/31/20,31756.0
11/1/20,29905.0
11/2/20,22253.0
11/3/20,28241.0
11/4/20,30548.0
11/5/20,34502.0
11/6/20,37802.0
11/7/20,39809.0
11/8/20,32614.0
11/9/20,25269.0
11/10/20,35090.0
11/11/20,32961.0
11/12/20,37977.0
11/13/20,40902.0
11/14/20,37249.0
11/15/20,33977.0
11/16/20,27352.0
11/17/20,32191.0
11/18/20,34280.0
11/19/20,36176.0
11/20/20,37239.0
11/21/20,34764.0
11/22/20,28337.0
11/23/20,22927.0
11/24/20,23227.0
11/25/20,25852.0
11/26/20,29001.0
11/27/20,28342.0
11/28/20,26315.0
11/29/20,20646.0
11/30/20,16376.0
12/1/20,19347.0
12/2/20,20709.0
12/3/20,23219.0
12/4/20,24110.0
12/5/20,21052.0
12/6/20,18887.0
12/7/20,13679.0
12/8/20,14837.0
12/9/20,12755.0
12/10/20,16998.0
12/11/20,18726.0
12/12/20,19902.0
12/13/20,17937.0
12/14/20,12025.0
12/15/20,14839.0
12/16/20,17568.0
12/17/20,18233.0
12/18/20,15401.0
12/19/20,16305.0
12/20/20,15102.0
12/21/20,10869.0
12/22/20,13316.0
12/23/20,13908.0
12/24/20,18039.0
12/25/20,19037.0
12/26/20,10405.0
12/27/20,8937.0
12/28/20,8581.0
12/29/20,11210.0
12/30/20,16202.0
12/31/20,23477.0
1/1/21,22210.0
1/2/21,11825.0
1/3/21,14245.0
1/4/21,10798.0
1/5/21,15375.0
1/6/21,20326.0
1/7/21,18416.0
1/8/21,17529.0
1/9/21,19976.0
1/10/21,18625.0
1/11/21,12530.0
1/12/21,14242.0
1/13/21,15773.0
1/14/21,17243.0
1/15/21,16144.0
1/16/21,16310.0
1/17/21,12544.0
1/18/21,8825.0
1/19/21,10496.0
1/20/21,13568.0
1/21/21,14055.0
1/22/21,13633.0
1/23/21,13331.0
1/24/21,11628.0
1/25/21,8559.0
1/26/21,10584.0
1/27/21,15191.0
1/28/21,14360.0
1/29/21,13563.0
1/30/21,12713.0
1/31/21,11249.0
2/1/21,7925.0
2/2/21,9651.0
2/3/21,13182.0
2/4/21,13656.0
2/5/21,14213.0
2/6/21,13439.0
2/7/21,11640.0
2/8/21,7969.0
2/9/21,10612.0
2/10/21,12947.0
2/11/21,15137.0
2/12/21,13893.0
2/13/21,13523.0
2/14/21,11060.0
2/15/21,7344.0
2/16/21,10368.0
2/17/21,12066.0
2/18/21,13755.0
2/19/21,15470.0
2/20/21,14914.0
2/21/21,13450.0
2/22/21,9617.0
2/23/21,13299.0
2/24/21,16402.0
2/25/21,19871.0
2/26/21,20488.0
2/27/21,18902.0
2/28/21,17440.0
3/1/21,13106.0
3/2/21,17063.0
3/3/21,20840.0
3/4/21,22845.0
3/5/21,24010.0
3/6/21,23633.0
3/7/21,20724.0
3/8/21,13882.0
3/9/21,19725.0
3/10/21,22275.0
3/11/21,25649.0
3/12/21,26790.0
3/13/21,26031.0
3/14/21,21304.0
3/15/21,15252.0
3/16/21,20376.0
3/17/21,23040.0
3/18/21,24901.0
3/19/21,25707.0
3/20/21,23913.0
3/21/21,20045.0
3/22/21,24501.0
3/23/21,18739.0
3/24/21,21246.0
3/25/21,23681.0
3/26/21,24076.0
3/27/21,23834.0
3/28/21,19604.0
3/29/21,12900.0
3/30/21,16055.0
3/31/21,23887.0
4/1/21,22184.0
4/2/21,21917.0
4/3/21,21247.0
4/4/21,18017.0
4/5/21,10680.0
4/6/21,7763.0
4/7/21,13686.0
4/8/21,17209.0
4/9/21,18924.0
4/10/21,17551.0
4/11/21,15737.0
4/12/21,9780.0
4/13/21,13439.0
4/14/21,16160.0
4/15/21,16963.0
4/16/21,15923.0
4/17/21,15364.0
4/18/21,12688.0
4/19/21,8863.0
4/20/21,12069.0
4/21/21,13836.0
4/22/21,16046.0
4/23/21,14758.0
4/24/21,13814.0
4/25/21,13157.0
4/26/21,8440.0
4/27/21,10398.0
4/28/21,13382.0
4/29/21,14314.0
4/30/21,13445.0
5/1/21,12964.0
5/2/21,9145.0
5/3/21,5946.0
5/4/21,9113.0
5/5/21,10579.0
5/6/21,11798.0
5/7/21,10549.0
5/8/21,10174.0
5/9/21,8289.0
5/10/21,5077.0
5/11/21,6943.0
5/12/21,7848.0
5/13/21,8082.0
5/14/21,7562.0
5/15/21,6652.0
5/16/21,5748.0
5/17/21,3454.0
5/18/21,4449.0
5/19/21,5500.0
5/20/21,5736.0
5/21/21,5215.0
5/22/21,4714.0
5/23/21,3993.0
5/24/21,2489.0
5/25/21,3220.0
5/26/21,3935.0
5/27/21,4143.0
5/28/21,3737.0
5/29/21,3348.0
5/30/21,2948.0
5/31/21,1818.0
6/1/21,2483.0
6/2/21,2896.0
6/3/21,1963.0
6/4/21,2556.0
6/5/21,2434.0
6/6/21,2275.0
6/7/21,1270.0
6/8/21,1894.0
6/9/21,2198.0
6/10/21,2078.0
6/11/21,1892.0
6/12/21,1722.0
6/13/21,1390.0
6/14/21,907.0
6/15/21,1253.0
6/16/21,1400.0
6/17/21,1323.0
6/18/21,1147.0
6/19/21,1193.0
6/20/21,881.0
6/21/21,484.0
6/22/21,834.0
6/23/21,1140.0
6/24/21,266.0
6/25/21,751.0
6/26/21,838.0
6/27/21,780.0
6/28/21,387.0
6/29/21,677.0
6/30/21,776.0
7/1/21,879.0
7/2/21,794.0
7/3/21,929.0
7/4/21,806.0
7/5/21,480.0
7/6/21,907.0
7/7/21,1010.0
7/8/21,1391.0
7/9/21,1386.0
7/10/21,1394.0
7/11/21,1391.0
7/12/21,887.0
7/13/21,1530.0
7/14/21,2153.0
7/15/21,2473.0
7/16/21,2895.0
7/17/21,3118.0
7/18/21,3126.0
7/19/21,2070.0
7/20/21,3555.0
7/21/21,4254.0
7/22/21,5056.0
7/23/21,5142.0
7/24/21,5138.0
7/25/21,4742.0
7/26/21,3115.0
7/27/21,4516.0
7/28/21,5693.0
7/29/21,6167.0
7/30/21,6613.0
7/31/21,6509.0
8/1/21,5320.0
8/2/21,3185.0
8/3/21,4841.0
8/4/21,6590.0
8/5/21,7224.0
8/6/21,6599.0
8/7/21,6897.0
8/8/21,5733.0
8/9/21,4200.0
8/10/21,5624.0
8/11/21,6921.0
8/12/21,7267.0
8/13/21,7398.0
8/14/21,7181.0
8/15/21,5661.0
8/16/21,3669.0
8/17/21,5268.0
8/18/21,7159.0
8/19/21,7240.0
8/20/21,7220.0
8/21/21,7466.0
8/22/21,5922.0
8/23/21,4166.0
8/24/21,6078.0
8/25/21,7539.0
8/26/21,7215.0
8/27/21,7823.0
8/28/21,6858.0
8/29/21,5954.0
8/30/21,4253.0
8/31/21,5492.0
9/1/21,6496.0
9/2/21,6754.0
9/3/21,6729.0
9/4/21,6156.0
9/5/21,5314.0
9/6/21,3347.0
9/7/21,4715.0
9/8/21,5921.0
9/9/21,5518.0
9/10/21,5617.0
9/11/21,5191.0
9/12/21,4664.0
9/13/21,2792.0
9/14/21,4009.0
9/15/21,4826.0
9/16/21,5115.0
9/17/21,4544.0
9/18/21,4576.0
9/19/21,3836.0
9/20/21,2405.0
9/21/21,3374.0
9/22/21,3963.0
9/23/21,4053.0
9/24/21,3790.0
9/25/21,3519.0
9/26/21,3099.0
9/27/21,1773.0
9/28/21,2962.0
9/29/21,3212.0
9/30/21,4094.0
10/1/21,3403.0
10/2/21,3309.0
10/3/21,2967.0
10/4/21,1612.0
10/5/21,2463.0
10/6/21,3232.0
10/7/21,2933.0
10/8/21,3017.0
10/9/21,2747.0
10/10/21,2278.0
10/11/21,1516.0
10/12/21,2486.0
10/13/21,2769.0
10/14/21,2666.0
10/15/21,2729.0
10/16/21,2982.0
10/17/21,2435.0
10/18/21,1594.0
10/19/21,2695.0
10/20/21,3699.0
10/21/21,3791.0
10/22/21,3879.0
10/23/21,3905.0
10/24/21,3723.0
10/25/21,2535.0
10/26/21,4053.0
10/27/21,4595.0
10/28/21,4863.0
10/29/21,5332.0
10/30/21,4877.0
10/31/21,4525.0
11/1/21,2818.0
11/2/21,2831.0
11/3/21,5188.0
11/4/21,5902.0
11/5/21,6761.0
11/6/21,6760.0
11/7/21,5822.0
11/8/21,4547.0
11/9/21,6111.0
11/10/21,8033.0
11/11/21,8697.0
11/12/21,8522.0
11/13/21,8539.0
11/14/21,7565.0
11/15/21,5199.0
11/16/21,7815.0
11/17/21,10167.0
11/18/21,10645.0
11/19/21,10554.0
11/20/21,11540.0
11/21/21,9707.0
11/22/21,6403.0
11/23/21,10044.0
11/24/21,12450.0
11/25/21,13756.0
11/26/21,13681.0
11/27/21,12869.0
11/28/21,12927.0
11/29/21,7972.0
11/30/21,12757.0
12/1/21,15073.0
12/2/21,16810.0
12/3/21,17015.0
12/4/21,16627.0
12/5/21,15010.0
12/6/21,9494.0
12/7/21,15742.0
12/8/21,17946.0
12/9/21,12516.0
12/10/21,20490.0
12/11/21,21035.0
12/12/21,19212.0
12/13/21,12704.0
12/14/21,20665.0
12/15/21,23190.0
12/16/21,26104.0
12/17/21,28615.0
12/18/21,28057.0
12/19/21,24303.0
12/20/21,16205.0
12/21/21,30783.0
12/22/21,36326.0
12/23/21,44585.0
12/24/21,50590.0
12/25/21,54787.0
12/26/21,24882.0
12/27/21,30799.0
12/28/21,78300.0
12/29/21,98016.0
12/30/21,127000.0
12/31/21,144255.0
1/1/22,141256.0
1/2/22,61137.0
1/3/22,68034.0
1/4/22,170837.0
1/5/22,189088.0
1/6/22,219430.0
1/7/22,108297.0
1/8/22,197535.0
1/9/22,155642.0
1/10/22,117405.0
1/11/22,220519.0
1/12/22,196205.0
1/13/22,184577.0
1/14/22,200869.0
1/15/22,192936.0
1/16/22,157465.0
1/17/22,83387.0
1/18/22,228123.0
1/19/22,200966.0
1/20/22,198865.0
1/21/22,185600.0
1/22/22,177335.0
1/23/22,142487.0
1/24/22,77666.0
1/25/22,211277.0
1/26/22,170940.0
1/27/22,156040.0
1/28/22,144347.0
1/29/22,137427.0
1/30/22,104110.0
1/31/22,57631.0
2/1/22,133306.0
2/2/22,119323.0
2/3/22,112956.0
2/4/22,100900.0
2/5/22,93192.0
2/6/22,78943.0
2/7/22,41602.0
2/8/22,102429.0
2/9/22,81669.0
2/10/22,76195.0
2/11/22,67478.0
2/12/22,62221.0
2/13/22,52345.0
2/14/22,28776.0
2/15/22,71023.0
2/16/22,59869.0
2/17/22,58055.0
2/18/22,53700.0
2/19/22,50675.0
2/20/22,42202.0
2/21/22,24484.0
2/22/22,60137.0
2/23/22,49162.0
2/24/22,47493.0
2/25/22,42069.0
2/26/22,39360.0
2/27/22,31878.0
2/28/22,18278.0
3/1/22,47136.0
3/2/22,37946.0
3/3/22,42588.0
3/4/22,38353.0
3/5/22,41364.0
3/6/22,35889.0
3/7/22,22662.0
3/8/22,60753.0
3/9/22,49815.0
3/10/22,55156.0
3/11/22,53961.0
3/12/22,54720.0
3/13/22,50028.0
3/14/22,29698.0
3/15/22,86414.0
3/16/22,74147.0
3/17/22,82368.0
3/18/22,78577.0
3/19/22,75768.0
3/20/22,61564.0
3/21/22,33445.0
3/22/22,96904.0
3/23/22,78358.0
3/24/22,82648.0
3/25/22,76397.0
3/26/22,74616.0
3/27/22,60612.0
3/28/22,31560.0
3/29/22,100296.0
3/30/22,71411.0
3/31/22,74364.0
4/1/22,77040.0
4/2/22,71412.0
4/3/22,55009.0
4/4/22,31329.0
4/5/22,88914.0
4/6/22,69885.0
4/7/22,70123.0
4/8/22,67641.0
4/9/22,64421.0
4/10/22,53920.0
4/11/22,28705.0
4/12/22,84056.0
4/13/22,62586.0
4/14/22,65617.0
4/15/22,62290.0
4/16/22,64533.0
4/17/22,52253.0
4/18/22,18588.0
4/19/22,27326.0
4/20/22,100440.0
4/21/22,75995.0
4/22/22,73744.0
4/23/22,71028.0
4/24/22,56848.0
4/25/22,25282.0
4/26/22,29984.0
4/27/22,88431.0
4/28/22,70034.0
4/29/22,59395.0
4/30/22,54017.0
5/1/22,41591.0
5/2/22,19068.0
