,Mexico
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,1.0
2/29/20,3.0
3/1/20,1.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,1.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,0.0
3/11/20,1.0
3/12/20,4.0
3/13/20,14.0
3/14/20,15.0
3/15/20,12.0
3/16/20,29.0
3/17/20,11.0
3/18/20,25.0
3/19/20,46.0
3/20/20,39.0
3/21/20,48.0
3/22/20,65.0
3/23/20,51.0
3/24/20,38.0
3/25/20,70.0
3/26/20,110.0
3/27/20,132.0
3/28/20,131.0
3/29/20,145.0
3/30/20,101.0
3/31/20,121.0
4/1/20,163.0
4/2/20,132.0
4/3/20,178.0
4/4/20,202.0
4/5/20,253.0
4/6/20,296.0
4/7/20,346.0
4/8/20,396.0
4/9/20,260.0
4/10/20,403.0
4/11/20,375.0
4/12/20,442.0
4/13/20,353.0
4/14/20,385.0
4/15/20,448.0
4/16/20,450.0
4/17/20,578.0
4/18/20,622.0
4/19/20,764.0
4/20/20,511.0
4/21/20,729.0
4/22/20,1043.0
4/23/20,1089.0
4/24/20,1239.0
4/25/20,970.0
4/26/20,835.0
4/27/20,852.0
4/28/20,1223.0
4/29/20,1047.0
4/30/20,1425.0
5/1/20,1515.0
5/2/20,1349.0
5/3/20,1383.0
5/4/20,1434.0
5/5/20,1120.0
5/6/20,1609.0
5/7/20,1982.0
5/8/20,1906.0
5/9/20,1938.0
5/10/20,1562.0
5/11/20,1305.0
5/12/20,1997.0
5/13/20,1862.0
5/14/20,2409.0
5/15/20,2437.0
5/16/20,2112.0
5/17/20,2075.0
5/18/20,2414.0
5/19/20,2713.0
5/20/20,2248.0
5/21/20,2973.0
5/22/20,2960.0
5/23/20,3329.0
5/24/20,2764.0
5/25/20,2485.0
5/26/20,3455.0
5/27/20,3463.0
5/28/20,3377.0
5/29/20,3227.0
5/30/20,2885.0
5/31/20,3152.0
6/1/20,2771.0
6/2/20,3891.0
6/3/20,3912.0
6/4/20,4442.0
6/5/20,4346.0
6/6/20,3593.0
6/7/20,3484.0
6/8/20,2999.0
6/9/20,4199.0
6/10/20,4883.0
6/11/20,4790.0
6/12/20,5222.0
6/13/20,3494.0
6/14/20,4147.0
6/15/20,3427.0
6/16/20,4599.0
6/17/20,4930.0
6/18/20,5662.0
6/19/20,5030.0
6/20/20,4717.0
6/21/20,5343.0
6/22/20,4577.0
6/23/20,6288.0
6/24/20,5437.0
6/25/20,6104.0
6/26/20,5441.0
6/27/20,4410.0
6/28/20,4050.0
6/29/20,3805.0
6/30/20,5432.0
7/1/20,5681.0
7/2/20,6741.0
7/3/20,6740.0
7/4/20,6914.0
7/5/20,4683.0
7/6/20,4902.0
7/7/20,6258.0
7/8/20,6995.0
7/9/20,7280.0
7/10/20,6891.0
7/11/20,6094.0
7/12/20,4482.0
7/13/20,4685.0
7/14/20,7051.0
7/15/20,6149.0
7/16/20,6406.0
7/17/20,7257.0
7/18/20,7615.0
7/19/20,5311.0
7/20/20,5172.0
7/21/20,6859.0
7/22/20,6019.0
7/23/20,8438.0
7/24/20,7573.0
7/25/20,6751.0
7/26/20,5480.0
7/27/20,4973.0
7/28/20,7208.0
7/29/20,5752.0
7/30/20,7730.0
7/31/20,8458.0
8/1/20,9556.0
8/2/20,4853.0
8/3/20,4767.0
8/4/20,6148.0
8/5/20,6139.0
8/6/20,6590.0
8/7/20,6717.0
8/8/20,6495.0
8/9/20,4376.0
8/10/20,5558.0
8/11/20,6686.0
8/12/20,5858.0
8/13/20,7371.0
8/14/20,5618.0
8/15/20,6345.0
8/16/20,4448.0
8/17/20,3571.0
8/18/20,5506.0
8/19/20,5792.0
8/20/20,6775.0
8/21/20,5928.0
8/22/20,6482.0
8/23/20,3948.0
8/24/20,3541.0
8/25/20,4916.0
8/26/20,5267.0
8/27/20,6026.0
8/28/20,5824.0
8/29/20,5974.0
8/30/20,4129.0
8/31/20,3719.0
9/1/20,6476.0
9/2/20,4921.0
9/3/20,5937.0
9/4/20,6196.0
9/5/20,6319.0
9/6/20,4614.0
9/7/20,3486.0
9/8/20,5351.0
9/9/20,4461.0
9/10/20,5043.0
9/11/20,5935.0
9/12/20,5674.0
9/13/20,4408.0
9/14/20,3335.0
9/15/20,4771.0
9/16/20,4444.0
9/17/20,3182.0
9/18/20,4841.0
9/19/20,5167.0
9/20/20,3542.0
9/21/20,2917.0
9/22/20,4683.0
9/23/20,4786.0
9/24/20,5408.0
9/25/20,5401.0
9/26/20,5573.0
9/27/20,3886.0
9/28/20,3400.0
9/29/20,4446.0
9/30/20,5053.0
10/1/20,5099.0
10/2/20,4775.0
10/3/20,4863.0
10/4/20,3712.0
10/5/20,28115.0
10/6/20,4828.0
10/7/20,4580.0
10/8/20,5300.0
10/9/20,5532.0
10/10/20,4308.0
10/11/20,3175.0
10/12/20,3542.0
10/13/20,4295.0
10/14/20,4056.0
10/15/20,5514.0
10/16/20,6751.0
10/17/20,5447.0
10/18/20,4119.0
10/19/20,3699.0
10/20/20,5788.0
10/21/20,6845.0
10/22/20,6612.0
10/23/20,6604.0
10/24/20,6025.0
10/25/20,4360.0
10/26/20,4166.0
10/27/20,5942.0
10/28/20,5595.0
10/29/20,5948.0
10/30/20,6000.0
10/31/20,6151.0
11/1/20,4430.0
11/2/20,3763.0
11/3/20,5250.0
11/4/20,5225.0
11/5/20,5567.0
11/6/20,5931.0
11/7/20,6810.0
11/8/20,5887.0
11/9/20,4960.0
11/10/20,5746.0
11/11/20,7646.0
11/12/20,5658.0
11/13/20,5558.0
11/14/20,5860.0
11/15/20,3269.0
11/16/20,2874.0
11/17/20,1757.0
11/18/20,3918.0
11/19/20,4472.0
11/20/20,6426.0
11/21/20,6719.0
11/22/20,9187.0
11/23/20,7483.0
11/24/20,10794.0
11/25/20,10335.0
11/26/20,8107.0
11/27/20,12081.0
11/28/20,10728.0
11/29/20,5668.0
11/30/20,6472.0
12/1/20,8819.0
12/2/20,11251.0
12/3/20,11030.0
12/4/20,12127.0
12/5/20,11625.0
12/6/20,7455.0
12/7/20,6399.0
12/8/20,11006.0
12/9/20,11974.0
12/10/20,11897.0
12/11/20,12253.0
12/12/20,12057.0
12/13/20,8608.0
12/14/20,5930.0
12/15/20,11228.0
12/16/20,10297.0
12/17/20,11799.0
12/18/20,12248.0
12/19/20,12129.0
12/20/20,6870.0
12/21/20,5370.0
12/22/20,12511.0
12/23/20,11653.0
12/24/20,12485.0
12/25/20,9679.0
12/26/20,4974.0
12/27/20,6217.0
12/28/20,5996.0
12/29/20,12099.0
12/30/20,12406.0
12/31/20,12159.0
1/1/21,11091.0
1/2/21,6359.0
1/3/21,5211.0
1/4/21,6464.0
1/5/21,11271.0
1/6/21,13345.0
1/7/21,13734.0
1/8/21,14362.0
1/9/21,16105.0
1/10/21,10003.0
1/11/21,7594.0
1/12/21,14395.0
1/13/21,15873.0
1/14/21,16468.0
1/15/21,21366.0
1/16/21,20523.0
1/17/21,11170.0
1/18/21,8074.0
1/19/21,18894.0
1/20/21,20548.0
1/21/21,22339.0
1/22/21,21007.0
1/23/21,20057.0
1/24/21,10872.0
1/25/21,8521.0
1/26/21,17165.0
1/27/21,17944.0
1/28/21,18670.0
1/29/21,16374.0
1/30/21,15337.0
1/31/21,7030.0
2/1/21,5448.0
2/2/21,4384.0
2/3/21,12153.0
2/4/21,0.0
2/5/21,26626.0
2/6/21,13209.0
2/7/21,6065.0
2/8/21,3868.0
2/9/21,10738.0
2/10/21,11138.0
2/11/21,10677.0
2/12/21,10388.0
2/13/21,9741.0
2/14/21,4099.0
2/15/21,3098.0
2/16/21,8683.0
2/17/21,8988.0
2/18/21,9099.0
2/19/21,7829.0
2/20/21,7785.0
2/21/21,3104.0
2/22/21,2252.0
2/23/21,8634.0
2/24/21,8642.0
2/25/21,8462.0
2/26/21,7512.0
2/27/21,7246.0
2/28/21,2810.0
3/1/21,2343.0
3/2/21,7913.0
3/3/21,7793.0
3/4/21,7521.0
3/5/21,6797.0
3/6/21,6561.0
3/7/21,2734.0
3/8/21,1877.0
3/9/21,7407.0
3/10/21,6602.0
3/11/21,6469.0
3/12/21,6816.0
3/13/21,6104.0
3/14/21,2415.0
3/15/21,1439.0
3/16/21,1278.0
3/17/21,6455.0
3/18/21,6726.0
3/19/21,5722.0
3/20/21,5729.0
3/21/21,2133.0
3/22/21,1388.0
3/23/21,5881.0
3/24/21,5714.0
3/25/21,5787.0
3/26/21,5303.0
3/27/21,5059.0
3/28/21,1646.0
3/29/21,1293.0
3/30/21,5067.0
3/31/21,5977.0
4/1/21,5381.0
4/2/21,3089.0
4/3/21,1838.0
4/4/21,1263.0
4/5/21,1247.0
4/6/21,4804.0
4/7/21,5370.0
4/8/21,5140.0
4/9/21,5045.0
4/10/21,6356.0
4/11/21,1793.0
4/12/21,1627.0
4/13/21,4512.0
4/14/21,4894.0
4/15/21,4189.0
4/16/21,4504.0
4/17/21,4157.0
4/18/21,1506.0
4/19/21,1308.0
4/20/21,4262.0
4/21/21,4639.0
4/22/21,3708.0
4/23/21,3911.0
4/24/21,3308.0
4/25/21,1653.0
4/26/21,1143.0
4/27/21,3592.0
4/28/21,3818.0
4/29/21,3990.0
4/30/21,3821.0
5/1/21,3025.0
5/2/21,1093.0
5/3/21,1027.0
5/4/21,3064.0
5/5/21,3021.0
5/6/21,2846.0
5/7/21,3043.0
5/8/21,2743.0
5/9/21,1175.0
5/10/21,704.0
5/11/21,1897.0
5/12/21,3090.0
5/13/21,3632.0
5/14/21,2880.0
5/15/21,2695.0
5/16/21,1233.0
5/17/21,822.0
5/18/21,2767.0
5/19/21,2000.0
5/20/21,2628.0
5/21/21,2604.0
5/22/21,2586.0
5/23/21,1274.0
5/24/21,703.0
5/25/21,2483.0
5/26/21,2932.0
5/27/21,3050.0
5/28/21,3006.0
5/29/21,2725.0
5/30/21,1307.0
5/31/21,932.0
6/1/21,6917.0
6/2/21,3269.0
6/3/21,2894.0
6/4/21,2809.0
6/5/21,2071.0
6/6/21,1979.0
6/7/21,881.0
6/8/21,3449.0
6/9/21,3855.0
6/10/21,3672.0
6/11/21,3282.0
6/12/21,3649.0
6/13/21,1707.0
6/14/21,1175.0
6/15/21,4250.0
6/16/21,3789.0
6/17/21,4253.0
6/18/21,4098.0
6/19/21,0.0
6/20/21,5542.0
6/21/21,1268.0
6/22/21,4233.0
6/23/21,4963.0
6/24/21,5340.0
6/25/21,5270.0
6/26/21,5051.0
6/27/21,2384.0
6/28/21,1661.0
6/29/21,5711.0
6/30/21,6105.0
7/1/21,6081.0
7/2/21,5842.0
7/3/21,6265.0
7/4/21,2611.0
7/5/21,1805.0
7/6/21,7989.0
7/7/21,8507.0
7/8/21,9452.0
7/9/21,9319.0
7/10/21,9581.0
7/11/21,3779.0
7/12/21,3074.0
7/13/21,11137.0
7/14/21,12116.0
7/15/21,12821.0
7/16/21,12420.0
7/17/21,12631.0
7/18/21,4438.0
7/19/21,5307.0
7/20/21,13853.0
7/21/21,15198.0
7/22/21,16244.0
7/23/21,0.0
7/24/21,32244.0
7/25/21,6535.0
7/26/21,5920.0
7/27/21,17408.0
7/28/21,19028.0
7/29/21,19223.0
7/30/21,19346.0
7/31/21,18809.0
8/1/21,6740.0
8/2/21,6506.0
8/3/21,18911.0
8/4/21,20685.0
8/5/21,21569.0
8/6/21,21563.0
8/7/21,20018.0
8/8/21,7573.0
8/9/21,6513.0
8/10/21,19555.0
8/11/21,22711.0
8/12/21,24975.0
8/13/21,22758.0
8/14/21,23642.0
8/15/21,0.0
8/16/21,16467.0
8/17/21,14814.0
8/18/21,28953.0
8/19/21,23169.0
8/20/21,21734.0
8/21/21,20307.0
8/22/21,7658.0
8/23/21,6543.0
8/24/21,18262.0
8/25/21,21250.0
8/26/21,20633.0
8/27/21,19556.0
8/28/21,17546.0
8/29/21,6837.0
8/30/21,5564.0
8/31/21,11146.0
9/1/21,17337.0
9/2/21,18138.0
9/3/21,17409.0
9/4/21,15586.0
9/5/21,7504.0
9/6/21,5127.0
9/7/21,15784.0
9/8/21,15876.0
9/9/21,14828.0
9/10/21,0.0
9/11/21,26744.0
9/12/21,5139.0
9/13/21,4161.0
9/14/21,12929.0
9/15/21,13217.0
9/16/21,7040.0
9/17/21,3754.0
9/18/21,0.0
9/19/21,16694.0
9/20/21,3367.0
9/21/21,12521.0
9/22/21,11603.0
9/23/21,11808.0
9/24/21,10139.0
9/25/21,0.0
9/26/21,13685.0
9/27/21,3007.0
9/28/21,9792.0
9/29/21,9796.0
9/30/21,8828.0
10/1/21,7388.0
10/2/21,7369.0
10/3/21,0.0
10/4/21,5262.0
10/5/21,0.0
10/6/21,7682.0
10/7/21,15310.0
10/8/21,7158.0
10/9/21,0.0
10/10/21,8843.0
10/11/21,2007.0
10/12/21,7187.0
10/13/21,6320.0
10/14/21,5825.0
10/15/21,5286.0
10/16/21,5203.0
10/17/21,1993.0
10/18/21,1413.0
10/19/21,4220.0
10/20/21,5069.0
10/21/21,4798.0
10/22/21,4653.0
10/23/21,4452.0
10/24/21,0.0
10/25/21,2787.0
10/26/21,0.0
10/27/21,4538.0
10/28/21,9300.0
10/29/21,4001.0
10/30/21,3478.0
10/31/21,1446.0
11/1/21,0.0
11/2/21,994.0
11/3/21,3588.0
11/4/21,2660.0
11/5/21,3763.0
11/6/21,7188.0
11/7/21,1382.0
11/8/21,0.0
11/9/21,4473.0
11/10/21,0.0
11/11/21,7049.0
11/12/21,0.0
11/13/21,3353.0
11/14/21,3130.0
11/15/21,942.0
11/16/21,775.0
11/17/21,4571.0
11/18/21,3915.0
11/19/21,0.0
11/20/21,3837.0
11/21/21,3306.0
11/22/21,2141.0
11/23/21,0.0
11/24/21,3698.0
11/25/21,8415.0
11/26/21,3445.0
11/27/21,0.0
11/28/21,2956.0
11/29/21,1774.0
11/30/21,0.0
12/1/21,6652.0
12/2/21,0.0
12/3/21,6234.0
12/4/21,0.0
12/5/21,3811.0
12/6/21,752.0
12/7/21,0.0
12/8/21,3304.0
12/9/21,6395.0
12/10/21,0.0
12/11/21,2992.0
12/12/21,2655.0
12/13/21,855.0
12/14/21,771.0
12/15/21,5651.0
12/16/21,2627.0
12/17/21,0.0
12/18/21,2750.0
12/19/21,2530.0
12/20/21,1557.0
12/21/21,0.0
12/22/21,2980.0
12/23/21,3319.0
12/24/21,6883.0
12/25/21,2916.0
12/26/21,0.0
12/27/21,803.0
12/28/21,943.0
12/29/21,4426.0
12/30/21,5290.0
12/31/21,18061.0
1/1/22,9193.0
1/2/22,1671.0
1/3/22,2877.0
1/4/22,15184.0
1/5/22,20626.0
1/6/22,25821.0
1/7/22,28023.0
1/8/22,30671.0
1/9/22,11599.0
1/10/22,0.0
1/11/22,44678.0
1/12/22,44187.0
1/13/22,43523.0
1/14/22,0.0
1/15/22,91406.0
1/16/22,19132.0
1/17/22,17101.0
1/18/22,0.0
1/19/22,109895.0
1/20/22,0.0
1/21/22,100279.0
1/22/22,0.0
1/23/22,72240.0
1/24/22,17938.0
1/25/22,44902.0
1/26/22,0.0
1/27/22,48627.0
1/28/22,94265.0
1/29/22,42582.0
1/30/22,13926.0
1/31/22,12521.0
2/1/22,43099.0
2/2/22,0.0
2/3/22,42181.0
2/4/22,78178.0
2/5/22,35243.0
2/6/22,10234.0
2/7/22,9242.0
2/8/22,6343.0
2/9/22,24898.0
2/10/22,0.0
2/11/22,34261.0
2/12/22,57583.0
2/13/22,0.0
2/14/22,8854.0
2/15/22,7831.0
2/16/22,44303.0
2/17/22,21565.0
2/18/22,0.0
2/19/22,41306.0
2/20/22,5714.0
2/21/22,0.0
2/22/22,4832.0
2/23/22,36980.0
2/24/22,18252.0
2/25/22,15638.0
2/26/22,13459.0
2/27/22,3519.0
2/28/22,2524.0
3/1/22,13115.0
3/2/22,0.0
3/3/22,12342.0
3/4/22,10558.0
3/5/22,9748.0
3/6/22,10593.0
3/7/22,1684.0
3/8/22,8939.0
3/9/22,8385.0
3/10/22,7878.0
3/11/22,0.0
3/12/22,13765.0
3/13/22,1191.0
3/14/22,1018.0
3/15/22,0.0
3/16/22,6025.0
3/17/22,11084.0
3/18/22,0.0
3/19/22,4860.0
3/20/22,4114.0
3/21/22,901.0
3/22/22,1225.0
3/23/22,0.0
3/24/22,4251.0
3/25/22,6736.0
3/26/22,0.0
3/27/22,3855.0
3/28/22,657.0
3/29/22,2758.0
3/30/22,0.0
3/31/22,5224.0
4/1/22,2538.0
4/2/22,3303.0
4/3/22,839.0
4/4/22,706.0
4/5/22,4223.0
4/6/22,12144.0
4/7/22,32216.0
4/8/22,4325.0
4/9/22,2767.0
4/10/22,337.0
4/11/22,281.0
4/12/22,648.0
4/13/22,749.0
4/14/22,464.0
4/15/22,401.0
4/16/22,1192.0
4/17/22,1000.0
4/18/22,0.0
4/19/22,1602.0
4/20/22,1290.0
4/21/22,1075.0
4/22/22,0.0
4/23/22,1793.0
4/24/22,357.0
4/25/22,140.0
4/26/22,1190.0
4/27/22,1464.0
4/28/22,1232.0
4/29/22,958.0
4/30/22,911.0
5/1/22,0.0
5/2/22,400.0
