,South Africa
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,0.0
3/7/20,0.0
3/8/20,2.0
3/9/20,0.0
3/10/20,4.0
3/11/20,6.0
3/12/20,4.0
3/13/20,7.0
3/14/20,14.0
3/15/20,13.0
3/16/20,11.0
3/17/20,0.0
3/18/20,54.0
3/19/20,34.0
3/20/20,52.0
3/21/20,38.0
3/22/20,34.0
3/23/20,128.0
3/24/20,152.0
3/25/20,155.0
3/26/20,218.0
3/27/20,243.0
3/28/20,17.0
3/29/20,93.0
3/30/20,46.0
3/31/20,27.0
4/1/20,27.0
4/2/20,82.0
4/3/20,43.0
4/4/20,80.0
4/5/20,70.0
4/6/20,31.0
4/7/20,63.0
4/8/20,96.0
4/9/20,89.0
4/10/20,69.0
4/11/20,25.0
4/12/20,145.0
4/13/20,99.0
4/14/20,143.0
4/15/20,91.0
4/16/20,99.0
4/17/20,178.0
4/18/20,251.0
4/19/20,124.0
4/20/20,142.0
4/21/20,165.0
4/22/20,170.0
4/23/20,318.0
4/24/20,267.0
4/25/20,141.0
4/26/20,185.0
4/27/20,247.0
4/28/20,203.0
4/29/20,354.0
4/30/20,297.0
5/1/20,304.0
5/2/20,385.0
5/3/20,447.0
5/4/20,437.0
5/5/20,352.0
5/6/20,236.0
5/7/20,424.0
5/8/20,663.0
5/9/20,525.0
5/10/20,595.0
5/11/20,637.0
5/12/20,698.0
5/13/20,724.0
5/14/20,665.0
5/15/20,785.0
5/16/20,831.0
5/17/20,1160.0
5/18/20,918.0
5/19/20,767.0
5/20/20,803.0
5/21/20,1134.0
5/22/20,988.0
5/23/20,1218.0
5/24/20,1240.0
5/25/20,1032.0
5/26/20,649.0
5/27/20,1673.0
5/28/20,1466.0
5/29/20,1837.0
5/30/20,1727.0
5/31/20,1716.0
6/1/20,1674.0
6/2/20,1455.0
6/3/20,1713.0
6/4/20,3267.0
6/5/20,2642.0
6/6/20,2539.0
6/7/20,2312.0
6/8/20,2594.0
6/9/20,2112.0
6/10/20,2430.0
6/11/20,3147.0
6/12/20,3359.0
6/13/20,3809.0
6/14/20,4302.0
6/15/20,3495.0
6/16/20,2801.0
6/17/20,4078.0
6/18/20,3478.0
6/19/20,3825.0
6/20/20,4966.0
6/21/20,4621.0
6/22/20,4288.0
6/23/20,4518.0
6/24/20,5688.0
6/25/20,6579.0
6/26/20,6215.0
6/27/20,7210.0
6/28/20,6334.0
6/29/20,6130.0
6/30/20,6945.0
7/1/20,8124.0
7/2/20,8728.0
7/3/20,9063.0
7/4/20,10853.0
7/5/20,8773.0
7/6/20,8971.0
7/7/20,10134.0
7/8/20,8810.0
7/9/20,13674.0
7/10/20,12348.0
7/11/20,13497.0
7/12/20,12058.0
7/13/20,11554.0
7/14/20,10496.0
7/15/20,12757.0
7/16/20,13172.0
7/17/20,13373.0
7/18/20,13285.0
7/19/20,13449.0
7/20/20,9300.0
7/21/20,8170.0
7/22/20,13150.0
7/23/20,13104.0
7/24/20,13944.0
7/25/20,12204.0
7/26/20,11233.0
7/27/20,7096.0
7/28/20,7232.0
7/29/20,11362.0
7/30/20,11046.0
7/31/20,11014.0
8/1/20,10107.0
8/2/20,8195.0
8/3/20,5377.0
8/4/20,4456.0
8/5/20,8559.0
8/6/20,8307.0
8/7/20,7292.0
8/8/20,7712.0
8/9/20,6671.0
8/10/20,3739.0
8/11/20,2511.0
8/12/20,2810.0
8/13/20,3946.0
8/14/20,6275.0
8/15/20,4513.0
8/16/20,3692.0
8/17/20,2541.0
8/18/20,2258.0
8/19/20,3916.0
8/20/20,3880.0
8/21/20,3398.0
8/22/20,3707.0
8/23/20,2728.0
8/24/20,1677.0
8/25/20,1567.0
8/26/20,2684.0
8/27/20,2585.0
8/28/20,1846.0
8/29/20,2419.0
8/30/20,2505.0
8/31/20,1985.0
9/1/20,1218.0
9/2/20,2336.0
9/3/20,2420.0
9/4/20,2063.0
9/5/20,1806.0
9/6/20,1633.0
9/7/20,845.0
9/8/20,1079.0
9/9/20,1990.0
9/10/20,2007.0
9/11/20,1960.0
9/12/20,1816.0
9/13/20,1579.0
9/14/20,956.0
9/15/20,772.0
9/16/20,1923.0
9/17/20,2128.0
9/18/20,2055.0
9/19/20,2029.0
9/20/20,1555.0
9/21/20,725.0
9/22/20,1346.0
9/23/20,1906.0
9/24/20,1861.0
9/25/20,1480.0
9/26/20,969.0
9/27/20,1268.0
9/28/20,903.0
9/29/20,903.0
9/30/20,1767.0
10/1/20,1745.0
10/2/20,1749.0
10/3/20,1883.0
10/4/20,1573.0
10/5/20,926.0
10/6/20,1027.0
10/7/20,1913.0
10/8/20,1736.0
10/9/20,1461.0
10/10/20,2544.0
10/11/20,1575.0
10/12/20,888.0
10/13/20,1178.0
10/14/20,1877.0
10/15/20,1770.0
10/16/20,2019.0
10/17/20,1928.0
10/18/20,1662.0
10/19/20,1461.0
10/20/20,1050.0
10/21/20,2055.0
10/22/20,2156.0
10/23/20,1897.0
10/24/20,1834.0
10/25/20,1622.0
10/26/20,891.0
10/27/20,1092.0
10/28/20,1863.0
10/29/20,2056.0
10/30/20,1912.0
10/31/20,1770.0
11/1/20,1371.0
11/2/20,772.0
11/3/20,1241.0
11/4/20,1712.0
11/5/20,1866.0
11/6/20,1761.0
11/7/20,1731.0
11/8/20,1372.0
11/9/20,1247.0
11/10/20,1729.0
11/11/20,2140.0
11/12/20,2338.0
11/13/20,2213.0
11/14/20,2237.0
11/15/20,1842.0
11/16/20,1245.0
11/17/20,1987.0
11/18/20,2888.0
11/19/20,2514.0
11/20/20,3105.0
11/21/20,2646.0
11/22/20,2270.0
11/23/20,2080.0
11/24/20,2493.0
11/25/20,3250.0
11/26/20,3069.0
11/27/20,3370.0
11/28/20,3198.0
11/29/20,2563.0
11/30/20,2302.0
12/1/20,2295.0
12/2/20,4173.0
12/3/20,4400.0
12/4/20,4932.0
12/5/20,4645.0
12/6/20,4116.0
12/7/20,3313.0
12/8/20,4011.0
12/9/20,6709.0
12/10/20,8166.0
12/11/20,8319.0
12/12/20,7882.0
12/13/20,7999.0
12/14/20,5163.0
12/15/20,7552.0
12/16/20,10008.0
12/17/20,9126.0
12/18/20,8725.0
12/19/20,10939.0
12/20/20,9445.0
12/21/20,8789.0
12/22/20,9501.0
12/23/20,14046.0
12/24/20,14305.0
12/25/20,14796.0
12/26/20,11552.0
12/27/20,9502.0
12/28/20,7458.0
12/29/20,9580.0
12/30/20,17710.0
12/31/20,18000.0
1/1/21,16726.0
1/2/21,15002.0
1/3/21,11859.0
1/4/21,12601.0
1/5/21,14410.0
1/6/21,21832.0
1/7/21,20999.0
1/8/21,21980.0
1/9/21,21606.0
1/10/21,17421.0
1/11/21,15046.0
1/12/21,13105.0
1/13/21,18555.0
1/14/21,18503.0
1/15/21,14880.0
1/16/21,13973.0
1/17/21,12267.0
1/18/21,9010.0
1/19/21,9780.0
1/20/21,12710.0
1/21/21,11381.0
1/22/21,11761.0
1/23/21,12271.0
1/24/21,8147.0
1/25/21,4551.0
1/26/21,6041.0
1/27/21,7070.0
1/28/21,7150.0
1/29/21,6141.0
1/30/21,5297.0
1/31/21,4525.0
2/1/21,2548.0
2/2/21,2649.0
2/3/21,4058.0
2/4/21,3751.0
2/5/21,3749.0
2/6/21,3184.0
2/7/21,2435.0
2/8/21,1376.0
2/9/21,1742.0
2/10/21,3159.0
2/11/21,2488.0
2/12/21,2781.0
2/13/21,2382.0
2/14/21,1744.0
2/15/21,1102.0
2/16/21,1210.0
2/17/21,2320.0
2/18/21,2327.0
2/19/21,1911.0
2/20/21,1690.0
2/21/21,1429.0
2/22/21,792.0
2/23/21,998.0
2/24/21,1862.0
2/25/21,1676.0
2/26/21,1654.0
2/27/21,1447.0
2/28/21,1168.0
3/1/21,566.0
3/2/21,856.0
3/3/21,1447.0
3/4/21,1404.0
3/5/21,1313.0
3/6/21,1227.0
3/7/21,862.0
3/8/21,638.0
3/9/21,991.0
3/10/21,1477.0
3/11/21,1474.0
3/12/21,1225.0
3/13/21,1541.0
3/14/21,1006.0
3/15/21,613.0
3/16/21,933.0
3/17/21,1531.0
3/18/21,1464.0
3/19/21,1462.0
3/20/21,1378.0
3/21/21,1051.0
3/22/21,599.0
3/23/21,510.0
3/24/21,1048.0
3/25/21,1554.0
3/26/21,1516.0
3/27/21,1387.0
3/28/21,965.0
3/29/21,548.0
3/30/21,756.0
3/31/21,1422.0
4/1/21,1294.0
4/2/21,1273.0
4/3/21,777.0
4/4/21,463.0
4/5/21,452.0
4/6/21,437.0
4/7/21,756.0
4/8/21,1366.0
4/9/21,1267.0
4/10/21,1285.0
4/11/21,931.0
4/12/21,655.0
4/13/21,847.0
4/14/21,1599.0
4/15/21,1372.0
4/16/21,1424.0
4/17/21,1325.0
4/18/21,1089.0
4/19/21,744.0
4/20/21,853.0
4/21/21,1569.0
4/22/21,1413.0
4/23/21,1637.0
4/24/21,1385.0
4/25/21,1101.0
4/26/21,849.0
4/27/21,880.0
4/28/21,1250.0
4/29/21,1086.0
4/30/21,1674.0
5/1/21,1632.0
5/2/21,1222.0
5/3/21,897.0
5/4/21,1187.0
5/5/21,2073.0
5/6/21,2149.0
5/7/21,2256.0
5/8/21,0.0
5/9/21,3969.0
5/10/21,1129.0
5/11/21,1548.0
5/12/21,2759.0
5/13/21,3221.0
5/14/21,3141.0
5/15/21,2750.0
5/16/21,2585.0
5/17/21,1757.0
5/18/21,2355.0
5/19/21,3522.0
5/20/21,3641.0
5/21/21,3332.0
5/22/21,4236.0
5/23/21,2894.0
5/24/21,2383.0
5/25/21,0.0
5/26/21,7707.0
5/27/21,4422.0
5/28/21,4574.0
5/29/21,4519.0
5/30/21,0.0
5/31/21,6547.0
6/1/21,3614.0
6/2/21,5782.0
6/3/21,5360.0
6/4/21,5668.0
6/5/21,5450.0
6/6/21,5073.0
6/7/21,3285.0
6/8/21,4209.0
6/9/21,8881.0
6/10/21,9147.0
6/11/21,8020.0
6/12/21,9319.0
6/13/21,7657.0
6/14/21,5548.0
6/15/21,8436.0
6/16/21,13246.0
6/17/21,11767.0
6/18/21,10510.0
6/19/21,13575.0
6/20/21,13155.0
6/21/21,9160.0
6/22/21,11093.0
6/23/21,17493.0
6/24/21,16078.0
6/25/21,18762.0
6/26/21,17956.0
6/27/21,15036.0
6/28/21,12222.0
6/29/21,13347.0
6/30/21,19506.0
7/1/21,21584.0
7/2/21,24270.0
7/3/21,26485.0
7/4/21,16585.0
7/5/21,12513.0
7/6/21,15500.0
7/7/21,21427.0
7/8/21,22910.0
7/9/21,22441.0
7/10/21,21610.0
7/11/21,16302.0
7/12/21,11182.0
7/13/21,12535.0
7/14/21,17489.0
7/15/21,16435.0
7/16/21,15939.0
7/17/21,14701.0
7/18/21,11215.0
7/19/21,7209.0
7/20/21,8928.0
7/21/21,16240.0
7/22/21,14858.0
7/23/21,13719.0
7/24/21,12056.0
7/25/21,9718.0
7/26/21,5667.0
7/27/21,7733.0
7/28/21,17302.0
7/29/21,13626.0
7/30/21,12885.0
7/31/21,12418.0
8/1/21,8730.0
8/2/21,5574.0
8/3/21,8988.0
8/4/21,13263.0
8/5/21,13646.0
8/6/21,13523.0
8/7/21,12310.0
8/8/21,9978.0
8/9/21,6756.0
8/10/21,6540.0
8/11/21,7478.0
8/12/21,14271.0
8/13/21,13916.0
8/14/21,13020.0
8/15/21,10139.0
8/16/21,7983.0
8/17/21,10685.0
8/18/21,14727.0
8/19/21,13671.0
8/20/21,14312.0
8/21/21,13261.0
8/22/21,10748.0
8/23/21,7632.0
8/24/21,10346.0
8/25/21,13251.0
8/26/21,12771.0
8/27/21,12045.0
8/28/21,10173.0
8/29/21,7740.0
8/30/21,5644.0
8/31/21,7084.0
9/1/21,9544.0
9/2/21,9202.0
9/3/21,9199.0
9/4/21,8410.0
9/5/21,5931.0
9/6/21,4118.0
9/7/21,5771.0
9/8/21,6939.0
9/9/21,6269.0
9/10/21,5883.0
9/11/21,5309.0
9/12/21,3961.0
9/13/21,2640.0
9/14/21,3699.0
9/15/21,4667.0
9/16/21,4214.0
9/17/21,3648.0
9/18/21,3286.0
9/19/21,2281.0
9/20/21,1504.0
9/21/21,2197.0
9/22/21,2967.0
9/23/21,2783.0
9/24/21,2261.0
9/25/21,1634.0
9/26/21,967.0
9/27/21,578.0
9/28/21,1367.0
9/29/21,0.0
9/30/21,3784.0
10/1/21,1635.0
10/2/21,1306.0
10/3/21,809.0
10/4/21,429.0
10/5/21,768.0
10/6/21,1149.0
10/7/21,989.0
10/8/21,924.0
10/9/21,816.0
10/10/21,648.0
10/11/21,201.0
10/12/21,592.0
10/13/21,942.0
10/14/21,947.0
10/15/21,733.0
10/16/21,619.0
10/17/21,414.0
10/18/21,210.0
10/19/21,452.0
10/20/21,591.0
10/21/21,520.0
10/22/21,517.0
10/23/21,449.0
10/24/21,300.0
10/25/21,146.0
10/26/21,331.0
10/27/21,472.0
10/28/21,533.0
10/29/21,475.0
10/30/21,297.0
10/31/21,230.0
11/1/21,106.0
11/2/21,169.0
11/3/21,344.0
11/4/21,319.0
11/5/21,339.0
11/6/21,358.0
11/7/21,205.0
11/8/21,116.0
11/9/21,245.0
11/10/21,305.0
11/11/21,356.0
11/12/21,393.0
11/13/21,306.0
11/14/21,262.0
11/15/21,136.0
11/16/21,273.0
11/17/21,566.0
11/18/21,585.0
11/19/21,789.0
11/20/21,887.0
11/21/21,687.0
11/22/21,312.0
11/23/21,18586.0
11/24/21,1275.0
11/25/21,2465.0
11/26/21,2828.0
11/27/21,3220.0
11/28/21,2858.0
11/29/21,2273.0
11/30/21,4373.0
12/1/21,8561.0
12/2/21,11535.0
12/3/21,16055.0
12/4/21,16366.0
12/5/21,11125.0
12/6/21,6381.0
12/7/21,13147.0
12/8/21,19842.0
12/9/21,22388.0
12/10/21,19017.0
12/11/21,17153.0
12/12/21,37875.0
12/13/21,13288.0
12/14/21,23857.0
12/15/21,26389.0
12/16/21,24785.0
12/17/21,20713.0
12/18/21,16080.0
12/19/21,15465.0
12/20/21,8511.0
12/21/21,15423.0
12/22/21,21098.0
12/23/21,21156.0
12/24/21,18847.0
12/25/21,14828.0
12/26/21,5603.0
12/27/21,3778.0
12/28/21,7216.0
12/29/21,9020.0
12/30/21,12978.0
12/31/21,11754.0
1/1/22,9793.0
1/2/22,4357.0
1/3/22,3076.0
1/4/22,8078.0
1/5/22,11106.0
1/6/22,9858.0
1/7/22,9259.0
1/8/22,7759.0
1/9/22,4482.0
1/10/22,2409.0
1/11/22,5668.0
1/12/22,6760.0
1/13/22,5917.0
1/14/22,5235.0
1/15/22,4590.0
1/16/22,2659.0
1/17/22,1629.0
1/18/22,3657.0
1/19/22,0.0
1/20/22,8282.0
1/21/22,3519.0
1/22/22,3049.0
1/23/22,1931.0
1/24/22,1332.0
1/25/22,3197.0
1/26/22,4511.0
1/27/22,4100.0
1/28/22,3789.0
1/29/22,3342.0
1/30/22,2226.0
1/31/22,1366.0
2/1/22,3085.0
2/2/22,4502.0
2/3/22,3266.0
2/4/22,0.0
2/5/22,6135.0
2/6/22,1752.0
2/7/22,1228.0
2/8/22,824.0
2/9/22,5628.0
2/10/22,3169.0
2/11/22,2862.0
2/12/22,2489.0
2/13/22,1649.0
2/14/22,1094.0
2/15/22,2364.0
2/16/22,3699.0
2/17/22,3056.0
2/18/22,2800.0
2/19/22,2267.0
2/20/22,1456.0
2/21/22,1151.0
2/22/22,2334.0
2/23/22,3117.0
2/24/22,2411.0
2/25/22,2111.0
2/26/22,2320.0
2/27/22,1266.0
2/28/22,785.0
3/1/22,1649.0
3/2/22,1995.0
3/3/22,1853.0
3/4/22,1898.0
3/5/22,1735.0
3/6/22,1147.0
3/7/22,801.0
3/8/22,1436.0
3/9/22,1867.0
3/10/22,1868.0
3/11/22,1671.0
3/12/22,1570.0
3/13/22,972.0
3/14/22,671.0
3/15/22,1648.0
3/16/22,1980.0
3/17/22,1681.0
3/18/22,1558.0
3/19/22,1287.0
3/20/22,889.0
3/21/22,566.0
3/22/22,912.0
3/23/22,1393.0
3/24/22,2120.0
3/25/22,1557.0
3/26/22,1497.0
3/27/22,989.0
3/28/22,581.0
3/29/22,1557.0
3/30/22,1677.0
3/31/22,1886.0
4/1/22,0.0
4/2/22,0.0
4/3/22,4001.0
4/4/22,0.0
4/5/22,2223.0
4/6/22,2031.0
4/7/22,1481.0
4/8/22,1377.0
4/9/22,1181.0
4/10/22,828.0
4/11/22,553.0
4/12/22,1291.0
4/13/22,1659.0
4/14/22,1768.0
4/15/22,1846.0
4/16/22,1206.0
4/17/22,832.0
4/18/22,877.0
4/19/22,1475.0
4/20/22,2842.0
4/21/22,4406.0
4/22/22,4629.0
4/23/22,4230.0
4/24/22,3222.0
4/25/22,1954.0
4/26/22,5062.0
4/27/22,6371.0
4/28/22,4146.0
4/29/22,4954.0
4/30/22,5727.0
5/1/22,4638.0
5/2/22,2650.0
