,United Arab Emirates
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,4.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,1.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,2.0
2/9/20,0.0
2/10/20,1.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,1.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,4.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,6.0
2/29/20,2.0
3/1/20,0.0
3/2/20,0.0
3/3/20,6.0
3/4/20,0.0
3/5/20,2.0
3/6/20,0.0
3/7/20,16.0
3/8/20,0.0
3/9/20,0.0
3/10/20,29.0
3/11/20,0.0
3/12/20,11.0
3/13/20,0.0
3/14/20,0.0
3/15/20,13.0
3/16/20,0.0
3/17/20,0.0
3/18/20,15.0
3/19/20,27.0
3/20/20,0.0
3/21/20,13.0
3/22/20,0.0
3/23/20,45.0
3/24/20,50.0
3/25/20,85.0
3/26/20,0.0
3/27/20,72.0
3/28/20,63.0
3/29/20,102.0
3/30/20,41.0
3/31/20,53.0
4/1/20,150.0
4/2/20,210.0
4/3/20,240.0
4/4/20,241.0
4/5/20,294.0
4/6/20,277.0
4/7/20,283.0
4/8/20,300.0
4/9/20,331.0
4/10/20,370.0
4/11/20,376.0
4/12/20,387.0
4/13/20,398.0
4/14/20,412.0
4/15/20,432.0
4/16/20,460.0
4/17/20,477.0
4/18/20,0.0
4/19/20,479.0
4/20/20,484.0
4/21/20,490.0
4/22/20,483.0
4/23/20,518.0
4/24/20,525.0
4/25/20,532.0
4/26/20,536.0
4/27/20,490.0
4/28/20,541.0
4/29/20,549.0
4/30/20,552.0
5/1/20,557.0
5/2/20,561.0
5/3/20,564.0
5/4/20,567.0
5/5/20,462.0
5/6/20,546.0
5/7/20,502.0
5/8/20,553.0
5/9/20,624.0
5/10/20,781.0
5/11/20,680.0
5/12/20,783.0
5/13/20,725.0
5/14/20,698.0
5/15/20,747.0
5/16/20,796.0
5/17/20,731.0
5/18/20,832.0
5/19/20,873.0
5/20/20,941.0
5/21/20,894.0
5/22/20,994.0
5/23/20,812.0
5/24/20,781.0
5/25/20,822.0
5/26/20,779.0
5/27/20,883.0
5/28/20,563.0
5/29/20,638.0
5/30/20,726.0
5/31/20,661.0
6/1/20,635.0
6/2/20,596.0
6/3/20,571.0
6/4/20,659.0
6/5/20,624.0
6/6/20,626.0
6/7/20,540.0
6/8/20,568.0
6/9/20,528.0
6/10/20,603.0
6/11/20,479.0
6/12/20,513.0
6/13/20,491.0
6/14/20,304.0
6/15/20,342.0
6/16/20,346.0
6/17/20,382.0
6/18/20,388.0
6/19/20,393.0
6/20/20,388.0
6/21/20,392.0
6/22/20,378.0
6/23/20,380.0
6/24/20,450.0
6/25/20,430.0
6/26/20,410.0
6/27/20,387.0
6/28/20,437.0
6/29/20,449.0
6/30/20,421.0
7/1/20,402.0
7/2/20,400.0
7/3/20,672.0
7/4/20,716.0
7/5/20,683.0
7/6/20,528.0
7/7/20,532.0
7/8/20,445.0
7/9/20,532.0
7/10/20,473.0
7/11/20,403.0
7/12/20,401.0
7/13/20,344.0
7/14/20,375.0
7/15/20,275.0
7/16/20,281.0
7/17/20,293.0
7/18/20,289.0
7/19/20,211.0
7/20/20,271.0
7/21/20,305.0
7/22/20,236.0
7/23/20,254.0
7/24/20,261.0
7/25/20,313.0
7/26/20,351.0
7/27/20,264.0
7/28/20,369.0
7/29/20,375.0
7/30/20,302.0
7/31/20,283.0
8/1/20,254.0
8/2/20,239.0
8/3/20,164.0
8/4/20,189.0
8/5/20,254.0
8/6/20,239.0
8/7/20,216.0
8/8/20,239.0
8/9/20,225.0
8/10/20,179.0
8/11/20,262.0
8/12/20,246.0
8/13/20,277.0
8/14/20,330.0
8/15/20,283.0
8/16/20,210.0
8/17/20,229.0
8/18/20,365.0
8/19/20,435.0
8/20/20,461.0
8/21/20,391.0
8/22/20,424.0
8/23/20,390.0
8/24/20,275.0
8/25/20,339.0
8/26/20,399.0
8/27/20,491.0
8/28/20,390.0
8/29/20,427.0
8/30/20,362.0
8/31/20,541.0
9/1/20,574.0
9/2/20,735.0
9/3/20,614.0
9/4/20,612.0
9/5/20,705.0
9/6/20,513.0
9/7/20,470.0
9/8/20,644.0
9/9/20,883.0
9/10/20,930.0
9/11/20,931.0
9/12/20,1007.0
9/13/20,640.0
9/14/20,777.0
9/15/20,674.0
9/16/20,842.0
9/17/20,786.0
9/18/20,865.0
9/19/20,809.0
9/20/20,674.0
9/21/20,679.0
9/22/20,852.0
9/23/20,1083.0
9/24/20,1002.0
9/25/20,1008.0
9/26/20,1078.0
9/27/20,851.0
9/28/20,626.0
9/29/20,995.0
9/30/20,1100.0
10/1/20,1158.0
10/2/20,1181.0
10/3/20,1231.0
10/4/20,1041.0
10/5/20,932.0
10/6/20,1061.0
10/7/20,1046.0
10/8/20,1089.0
10/9/20,1075.0
10/10/20,1129.0
10/11/20,1096.0
10/12/20,1064.0
10/13/20,1315.0
10/14/20,1431.0
10/15/20,1398.0
10/16/20,1412.0
10/17/20,1538.0
10/18/20,1215.0
10/19/20,915.0
10/20/20,1077.0
10/21/20,1538.0
10/22/20,1578.0
10/23/20,1563.0
10/24/20,1491.0
10/25/20,1359.0
10/26/20,1111.0
10/27/20,1390.0
10/28/20,1400.0
10/29/20,1312.0
10/30/20,1172.0
10/31/20,1121.0
11/1/20,1278.0
11/2/20,1234.0
11/3/20,1008.0
11/4/20,1161.0
11/5/20,1289.0
11/6/20,1292.0
11/7/20,1141.0
11/8/20,1111.0
11/9/20,1146.0
11/10/20,1096.0
11/11/20,1214.0
11/12/20,1136.0
11/13/20,1226.0
11/14/20,1174.0
11/15/20,1210.0
11/16/20,1209.0
11/17/20,1255.0
11/18/20,1292.0
11/19/20,1153.0
11/20/20,1269.0
11/21/20,1262.0
11/22/20,1205.0
11/23/20,1065.0
11/24/20,1310.0
11/25/20,1297.0
11/26/20,1305.0
11/27/20,1283.0
11/28/20,1252.0
11/29/20,1251.0
11/30/20,1107.0
12/1/20,1289.0
12/2/20,1285.0
12/3/20,1317.0
12/4/20,1311.0
12/5/20,1214.0
12/6/20,1153.0
12/7/20,1148.0
12/8/20,1260.0
12/9/20,1313.0
12/10/20,1255.0
12/11/20,1196.0
12/12/20,1154.0
12/13/20,1194.0
12/14/20,1092.0
12/15/20,1226.0
12/16/20,1278.0
12/17/20,1321.0
12/18/20,1284.0
12/19/20,1254.0
12/20/20,1171.0
12/21/20,1077.0
12/22/20,1226.0
12/23/20,1246.0
12/24/20,1311.0
12/25/20,1230.0
12/26/20,1227.0
12/27/20,944.0
12/28/20,1027.0
12/29/20,1506.0
12/30/20,1723.0
12/31/20,1730.0
1/1/21,1856.0
1/2/21,1963.0
1/3/21,1590.0
1/4/21,1501.0
1/5/21,1967.0
1/6/21,2067.0
1/7/21,2988.0
1/8/21,2950.0
1/9/21,2998.0
1/10/21,2876.0
1/11/21,2404.0
1/12/21,3243.0
1/13/21,3362.0
1/14/21,3382.0
1/15/21,3407.0
1/16/21,3432.0
1/17/21,3453.0
1/18/21,3471.0
1/19/21,3491.0
1/20/21,3506.0
1/21/21,3529.0
1/22/21,3552.0
1/23/21,3566.0
1/24/21,3579.0
1/25/21,3591.0
1/26/21,3601.0
1/27/21,3939.0
1/28/21,3966.0
1/29/21,3962.0
1/30/21,3647.0
1/31/21,2948.0
2/1/21,2730.0
2/2/21,3310.0
2/3/21,3977.0
2/4/21,3249.0
2/5/21,3251.0
2/6/21,3276.0
2/7/21,3093.0
2/8/21,2798.0
2/9/21,3310.0
2/10/21,3539.0
2/11/21,3525.0
2/12/21,3307.0
2/13/21,2631.0
2/14/21,3167.0
2/15/21,3123.0
2/16/21,3236.0
2/17/21,3452.0
2/18/21,3294.0
2/19/21,3140.0
2/20/21,3158.0
2/21/21,2250.0
2/22/21,2105.0
2/23/21,3005.0
2/24/21,3102.0
2/25/21,3025.0
2/26/21,3498.0
2/27/21,3434.0
2/28/21,2930.0
3/1/21,2526.0
3/2/21,2721.0
3/3/21,2692.0
3/4/21,2742.0
3/5/21,3072.0
3/6/21,2959.0
3/7/21,2613.0
3/8/21,2483.0
3/9/21,2373.0
3/10/21,2204.0
3/11/21,2087.0
3/12/21,2250.0
3/13/21,2159.0
3/14/21,1992.0
3/15/21,1898.0
3/16/21,2018.0
3/17/21,2051.0
3/18/21,2101.0
3/19/21,2160.0
3/20/21,2013.0
3/21/21,1717.0
3/22/21,1871.0
3/23/21,2172.0
3/24/21,2196.0
3/25/21,2043.0
3/26/21,2128.0
3/27/21,2304.0
3/28/21,2128.0
3/29/21,1874.0
3/30/21,2289.0
3/31/21,2084.0
4/1/21,2315.0
4/2/21,2180.0
4/3/21,2084.0
4/4/21,2113.0
4/5/21,2012.0
4/6/21,1988.0
4/7/21,1883.0
4/8/21,2112.0
4/9/21,1875.0
4/10/21,1931.0
4/11/21,1810.0
4/12/21,1928.0
4/13/21,2022.0
4/14/21,1798.0
4/15/21,1928.0
4/16/21,1843.0
4/17/21,1958.0
4/18/21,1930.0
4/19/21,1803.0
4/20/21,1903.0
4/21/21,1931.0
4/22/21,2081.0
4/23/21,1973.0
4/24/21,2080.0
4/25/21,1813.0
4/26/21,1759.0
4/27/21,2094.0
4/28/21,1710.0
4/29/21,1961.0
4/30/21,1974.0
5/1/21,1712.0
5/2/21,1847.0
5/3/21,1772.0
5/4/21,1699.0
5/5/21,1954.0
5/6/21,1724.0
5/7/21,1766.0
5/8/21,1735.0
5/9/21,1572.0
5/10/21,1507.0
5/11/21,1614.0
5/12/21,1508.0
5/13/21,1512.0
5/14/21,1452.0
5/15/21,1321.0
5/16/21,1251.0
5/17/21,1229.0
5/18/21,1270.0
5/19/21,1348.0
5/20/21,1401.0
5/21/21,1490.0
5/22/21,1596.0
5/23/21,1591.0
5/24/21,1512.0
5/25/21,1672.0
5/26/21,1757.0
5/27/21,2167.0
5/28/21,2236.0
5/29/21,1812.0
5/30/21,1810.0
5/31/21,1763.0
6/1/21,1968.0
6/2/21,2154.0
6/3/21,1989.0
6/4/21,2062.0
6/5/21,2188.0
6/6/21,1874.0
6/7/21,1968.0
6/8/21,2205.0
6/9/21,2179.0
6/10/21,0.0
6/11/21,4471.0
6/12/21,2123.0
6/13/21,1969.0
6/14/21,1837.0
6/15/21,2127.0
6/16/21,2011.0
6/17/21,2167.0
6/18/21,1942.0
6/19/21,2109.0
6/20/21,1850.0
6/21/21,1964.0
6/22/21,2167.0
6/23/21,1988.0
6/24/21,2161.0
6/25/21,2223.0
6/26/21,2282.0
6/27/21,2122.0
6/28/21,2040.0
6/29/21,2184.0
6/30/21,1747.0
7/1/21,1675.0
7/2/21,1663.0
7/3/21,1632.0
7/4/21,1599.0
7/5/21,1573.0
7/6/21,1552.0
7/7/21,1513.0
7/8/21,1539.0
7/9/21,1529.0
7/10/21,1520.0
7/11/21,1518.0
7/12/21,1542.0
7/13/21,1522.0
7/14/21,1529.0
7/15/21,1541.0
7/16/21,1530.0
7/17/21,1565.0
7/18/21,1529.0
7/19/21,1508.0
7/20/21,1541.0
7/21/21,1506.0
7/22/21,1547.0
7/23/21,1521.0
7/24/21,1507.0
7/25/21,1528.0
7/26/21,1549.0
7/27/21,1539.0
7/28/21,1527.0
7/29/21,1550.0
7/30/21,1520.0
7/31/21,1537.0
8/1/21,1519.0
8/2/21,1537.0
8/3/21,1548.0
8/4/21,1519.0
8/5/21,1508.0
8/6/21,1520.0
8/7/21,1545.0
8/8/21,1410.0
8/9/21,1321.0
8/10/21,1334.0
8/11/21,1287.0
8/12/21,1260.0
8/13/21,1215.0
8/14/21,1206.0
8/15/21,1189.0
8/16/21,1109.0
8/17/21,1115.0
8/18/21,1089.0
8/19/21,1077.0
8/20/21,1070.0
8/21/21,1066.0
8/22/21,1076.0
8/23/21,1060.0
8/24/21,990.0
8/25/21,983.0
8/26/21,991.0
8/27/21,994.0
8/28/21,998.0
8/29/21,987.0
8/30/21,993.0
8/31/21,996.0
9/1/21,985.0
9/2/21,975.0
9/3/21,978.0
9/4/21,984.0
9/5/21,971.0
9/6/21,977.0
9/7/21,952.0
9/8/21,833.0
9/9/21,772.0
9/10/21,744.0
9/11/21,725.0
9/12/21,620.0
9/13/21,632.0
9/14/21,617.0
9/15/21,608.0
9/16/21,564.0
9/17/21,521.0
9/18/21,471.0
9/19/21,391.0
9/20/21,313.0
9/21/21,322.0
9/22/21,318.0
9/23/21,329.0
9/24/21,303.0
9/25/21,321.0
9/26/21,298.0
9/27/21,286.0
9/28/21,277.0
9/29/21,270.0
9/30/21,265.0
10/1/21,276.0
10/2/21,256.0
10/3/21,184.0
10/4/21,189.0
10/5/21,176.0
10/6/21,156.0
10/7/21,144.0
10/8/21,136.0
10/9/21,146.0
10/10/21,111.0
10/11/21,124.0
10/12/21,136.0
10/13/21,126.0
10/14/21,116.0
10/15/21,104.0
10/16/21,115.0
10/17/21,99.0
10/18/21,104.0
10/19/21,122.0
10/20/21,112.0
10/21/21,94.0
10/22/21,88.0
10/23/21,84.0
10/24/21,94.0
10/25/21,97.0
10/26/21,90.0
10/27/21,95.0
10/28/21,88.0
10/29/21,82.0
10/30/21,88.0
10/31/21,81.0
11/1/21,78.0
11/2/21,74.0
11/3/21,79.0
11/4/21,73.0
11/5/21,80.0
11/6/21,73.0
11/7/21,70.0
11/8/21,68.0
11/9/21,72.0
11/10/21,75.0
11/11/21,82.0
11/12/21,72.0
11/13/21,78.0
11/14/21,66.0
11/15/21,61.0
11/16/21,68.0
11/17/21,74.0
11/18/21,66.0
11/19/21,77.0
11/20/21,79.0
11/21/21,63.0
11/22/21,67.0
11/23/21,70.0
11/24/21,73.0
11/25/21,77.0
11/26/21,70.0
11/27/21,68.0
11/28/21,60.0
11/29/21,58.0
11/30/21,65.0
12/1/21,68.0
12/2/21,0.0
12/3/21,54.0
12/4/21,51.0
12/5/21,114.0
12/6/21,48.0
12/7/21,62.0
12/8/21,69.0
12/9/21,60.0
12/10/21,74.0
12/11/21,78.0
12/12/21,83.0
12/13/21,92.0
12/14/21,110.0
12/15/21,148.0
12/16/21,200.0
12/17/21,234.0
12/18/21,0.0
12/19/21,551.0
12/20/21,301.0
12/21/21,452.0
12/22/21,665.0
12/23/21,1002.0
12/24/21,1352.0
12/25/21,1621.0
12/26/21,1803.0
12/27/21,1732.0
12/28/21,1846.0
12/29/21,2234.0
12/30/21,2366.0
12/31/21,2426.0
1/1/22,2556.0
1/2/22,2600.0
1/3/22,2515.0
1/4/22,2581.0
1/5/22,2708.0
1/6/22,2687.0
1/7/22,2627.0
1/8/22,2655.0
1/9/22,2759.0
1/10/22,2562.0
1/11/22,2511.0
1/12/22,2616.0
1/13/22,2683.0
1/14/22,3068.0
1/15/22,3116.0
1/16/22,3067.0
1/17/22,2989.0
1/18/22,2792.0
1/19/22,2902.0
1/20/22,3014.0
1/21/22,2921.0
1/22/22,3020.0
1/23/22,2813.0
1/24/22,2629.0
1/25/22,2504.0
1/26/22,2369.0
1/27/22,2638.0
1/28/22,2545.0
1/29/22,2355.0
1/30/22,2291.0
1/31/22,2028.0
2/1/22,2084.0
2/2/22,2163.0
2/3/22,2232.0
2/4/22,2114.0
2/5/22,1991.0
2/6/22,2015.0
2/7/22,1704.0
2/8/22,1615.0
2/9/22,1538.0
2/10/22,1588.0
2/11/22,1474.0
2/12/22,1395.0
2/13/22,1266.0
2/14/22,1191.0
2/15/22,930.0
2/16/22,957.0
2/17/22,895.0
2/18/22,882.0
2/19/22,790.0
2/20/22,725.0
2/21/22,651.0
2/22/22,626.0
2/23/22,740.0
2/24/22,782.0
2/25/22,696.0
2/26/22,644.0
2/27/22,622.0
2/28/22,605.0
3/1/22,478.0
3/2/22,519.0
3/3/22,502.0
3/4/22,447.0
3/5/22,558.0
3/6/22,407.0
3/7/22,386.0
3/8/22,323.0
3/9/22,392.0
3/10/22,369.0
3/11/22,382.0
3/12/22,353.0
3/13/22,318.0
3/14/22,296.0
3/15/22,280.0
3/16/22,318.0
3/17/22,386.0
3/18/22,331.0
3/19/22,367.0
3/20/22,347.0
3/21/22,338.0
3/22/22,316.0
3/23/22,332.0
3/24/22,390.0
3/25/22,348.0
3/26/22,341.0
3/27/22,315.0
3/28/22,286.0
3/29/22,301.0
3/30/22,288.0
3/31/22,313.0
4/1/22,288.0
4/2/22,284.0
4/3/22,298.0
4/4/22,300.0
4/5/22,244.0
4/6/22,215.0
4/7/22,143.0
4/8/22,240.0
4/9/22,226.0
4/10/22,224.0
4/11/22,208.0
4/12/22,216.0
4/13/22,337.0
4/14/22,256.0
4/15/22,239.0
4/16/22,246.0
4/17/22,201.0
4/18/22,198.0
4/19/22,229.0
4/20/22,249.0
4/21/22,231.0
4/22/22,259.0
4/23/22,261.0
4/24/22,244.0
4/25/22,215.0
4/26/22,207.0
4/27/22,212.0
4/28/22,275.0
4/29/22,265.0
4/30/22,261.0
5/1/22,240.0
5/2/22,222.0
